First lien residential mortgages,"322,178","3,070",(529),(422),(107),(139),54
Other personal lending,"112,093","1,781","(2,605)",(793),"(1,114)","(1,206)",260
Personal lending,"434,271","4,851","(3,134)","(1,215)","(1,221)","(1,345)",314
,"agriculture, forestry and fishing",280,(182),(140),(15),(6),—
,mining and quarrying,323,(226),(134),(31),(4),—
,manufacturing,"1,717","(1,210)",(856),(392),(332),8
,"electricity, gas, steam and air-conditioning supply",175,(80),(25),14,(54),2
,"water supply, sewerage, waste management and remediation",30,(28),(18),(4),—,—
,construction,884,(564),(499),(171),(191),12
,"wholesale and retail trade, repair of motor vehicles and motorcycles","1,633","(1,184)",(936),(330),(389),13
,transportation and storage,617,(237),(158),(93),(37),—
,accommodation and food,263,(146),(63),(49),(81),—
,"publishing, audiovisual and broadcasting",162,(87),(34),(17),(31),—
,real estate,"1,330",(680),(475),(34),(168),6
,"professional, scientific and technical activities",350,(209),(145),(47),(10),1
,administrative and support services,527,(270),(179),(80),(22),—
,"public administration and defence, compulsory social security",—,—,(8),—,—,—
,education,16,(18),(6),6,3,—
,health and care,111,(57),(28),(6),(13),1
,"arts, entertainment and recreation",30,(25),(11),3,(4),—
,other services,192,(199),(133),(79),(102),2
,activities of households,—,—,—,—,—,—
,extra-territorial organisations and bodies activities,—,—,—,2,—,1
,government,7,(14),(6),(8),—,—
,asset-backed securities,—,(14),—,—,—,—
,Corporate and commercial,"8,647","(5,438)","(3,846)","(1,331)","(1,447)",46
,Non-bank financial institutions,212,(160),(90),(71),(5),1
,Wholesale lending,"8,859","(5,598)","(3,936)","(1,402)","(1,452)",47
,Loans and advances to customers,"13,710","(8,732)","(5,151)","(2,623)","(2,797)",361
,Loans and advances to banks,—,(16),—,(6),—,—
At 31 Dec 2019,"13,710","(8,748)","(5,151)","(2,629)","(2,797)",361,
