Footnotes,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Net operating income/(expense) before change in expected credit losses and other credit impairment charges,"25,565","15,164","14,869",(654),"54,944"
,"21,252","16,094","20,314","(2,716)","54,944"
,"4,313",(930),"(5,445)","2,062",—
,"17,423","10,957","5,223","(3,264)","30,339"
Change in expected credit losses and other credit impairment (charges)/,"(1,348)","(1,162)",(153),36,"(2,627)"
recoveries,,,,,
Net operating income/(expense),"24,217","14,002","14,716",(618),"52,317"
Total operating expenses,"(15,388)","(6,832)","(9,544)",(755),"(32,519)"
Operating profit/(loss),"8,829","7,170","5,172","(1,373)","19,798"
Share of profit in associates and joint ventures,54,—,—,"2,297","2,351"
Adjusted profit before tax,"8,883","7,170","5,172",924,"22,149"
,40.1,32.4,23.4,4.2,100.0
Adjusted cost efficiency ratio,60.2,45.1,64.2,(115.4),59.2
Adjusted balance sheet data,,,,,
Loans and advances to customers (net),"455,618","353,781","252,131","1,166","1,062,696"
Interests in associates and joint ventures,449,14,16,"24,941","25,420"
Total external assets,"793,100","523,585","1,310,772","156,354","2,783,811"
Customer accounts,"768,151","397,182","304,094",780,"1,470,207"
