,Due over 1 month but Due not more not more than,Due over 1 month but Due not more not more than,Due over 1 month but Due not more not more than,Due over Due over 3 months but 1 year but not more than 5 years,Due over 5 years,Total
,than 1 month,3 months $m,not more than 1 year,Due over Due over 3 months but 1 year but not more than 5 years,Due over 5 years,Total
Deposits by banks,"$m 61,001","1,442","$m 1,639","$m 17,352",$m 632,$m
Customer accounts,"1,530,584","64,809","40,755","7,720",153,"82,066 1,644,021"
Repurchase agreements-non-trading,"102,664","3,984","3,257","1,058","1,017","111,980"
Trading liabilities,"75,266",二,二,二,二,"75,266"
Financial liabilities designated at fair value1,"18,815","7,556","19,243","59,835","55,475","160,924"
Derivatives,"300,158",356,579,"1,830","2,128","305,051"
Debt securities in issue,"6,551","12,709","29,520","28,787","24,075","101,642"
Subordinated liabilities,739,170,"1,102","7,024","28,812","37,847"
Other financial liabilities,"140,094","9,120","5,113","5,030","2,887","162,244"
,"2,235,872","100,146","101,208","128,636","115,179","2,681,041"
Loan and other credit-related commitments,"842,945",434,740,480,171,"844,770"
Financial guarantees²,"18,200",13,93,37,41,"18,384"
At 31 Dec 2020,"3,097,017","100,593","102,041","129,153","115,391","3,544,195"
Proportion of cash flows payable in period,87%,3%,3%,4%,3%,
Deposits by banks,"46,471","4,167","4,227","3,371","1,084","59,320"
Customer accounts,"1,288,577","81,037","62,105","9,900",191,"1,441,810"
Repurchase agreements-non-trading,"132,156","3,403","3,565",368,"1,036","140,528"
Trading liabilities,"83,170",二,二,二,二,"83,170"
Financial liabilities designatedatfair value,"13,447","4,666","14,747","76,155","68,045","177,060"
Derivatives,"237,897",105,522,"1,076","1,691","241,291"
Debt securities in issue,"8,757","17,374","38,423","36,584","8,177","109,315"
Subordinated liabilities,"1,847",二,"2,908","5,197","27,892","37,844"
Other financial liabilities,"127,898","9,079","6,792","5,637","2,992","152,398"
,"1,940,220","119,831","133,289","138,288","111,108","2,442,736"
Loan and other credit-related commitments,"795,243",601,561,886,317,"797,608"
Financial guarantees²,"20,007",37,102,68,二,"20,214"
At 31 Dec 2019,"2,755,470","120,469","133,952","139,242","111,425","3,260,558"
Proportion of cash flows payable in period,85%,4%,4%,4%,3%,
