"At 31 December,2020",2019,2018
Balance sheet,Total assets ($m),"2,984,164"
,Net loans and advances to customers ($m),"1,037,987"
,Customer accounts ($m),"1,642,780"
,Average interest-earning assets ($m),"2,092,900"
Loans and advances to customers as % of customer accounts (%),63.2,72.0
Balance sheet,Total shareholders' equity ($m),"196,443"
,Tangible ordinary shareholders' equity ($m),"156,423"
,Net asset value per ordinary share at period end ($),8.62
,Tangible net asset value per ordinary share at period end ($),7.75
