2018,Europe,Asia,MENA,North America,Latin America,Total
Revenue,,,,,,"$m,$m"
Reported,"17,704","28,784","2,687","6,725",,"3062,53780"
Currency translation,(760),-263,-37,-57,,"-803,-1854"
Significant items,(35),-,97,6,15,172
--- customer redress programmes,0,0,0,0,0,-53
"--- disposals, acquisitions and investment in new businesses",0,0,103,0,15,113
--- fair value movements on financial investments,(38),-,1,-9,,100
--- currency translation on significant items,7,3,0,0,0,12
Adjusted,"17,049","28,486","2,649","6,765",,"2265,52098"
ECL,Reported,609,602,209,223,
Currency translation,-760,-90,-2,121,,"-803,-147"
Adjusted,604,596,192,221,,1620
Operating expenses,Reported,"17,934","12,466","1,357","6,149",
Currency translation,530,185,47,33,,1280
Significant items,664,16,976,0,,1656
--- costs of structural reform,352,9,0,0,,361
--- customer redress programmes,146,0,0,0,,146
"--- disposals, acquisitions and investment in new businesses",52,0,0,0,,52
--- past service costs of guaranteed minimum pension benefits equalisation,228,0,0,0,,228
--- restructuring and other related costs,46,7,13,0,,66
--- settlements and provisions in connection with legal and regulatory matters,147,0,963,0,,816
--- currency translation on significant items,-13,0,0,0,,-13
Adjusted,"16,740","12,265","1,310","5,140",,31723
Share of profit in associates and joint ventures,Reported,24,"2,074",436,0,
Currency translation,-1,-90,0,0,,-92
Adjusted,23,"1,984",436,0,,2444
Profit/(loss) before tax,Reported,-815,"17,790","1,557",799,
Currency translation,-226,-162,27,-26,,-519
Significant items,769,(19),1,1073,6,1828
--- revenue,105,-35,97,6,,172
--- operating expenses,664,16,976,0,,1656
Adjusted,-272,"17,609","1,583","1,846",,21199
Loans and advances to customers (net),Reported,"373,073","450,545","28,824","108,146",
Currency translation,"26,141","10,289",-521,"2,957",,37308
Adjusted,"399,214","460,834","28,303","111,103",,1019004
Customer accounts,Reported,"503,154","664,824","35,408","133,291",
Currency translation,"34,940","12,491",-632,"3,094",,47079
Adjusted,"538,094","677,315","34,776","136,385",,1409722
