Called up share capital and share premium,Other equity instruments,"Retained earnings3,4",Financial assets at FVOCI reserve,Cash flow hedging reserve,Foreign exchange reserve,"Merger and other reserves4,5",Total shareholders' equity,Non-controlling interests,Total equity
$,m,$m,$m,$m,$m,$m,$m,$m,"$m,$m"
At 1 Jan 2020,"24,278","20,871","136,679",(108),(2),"(25,133)","27,370","183,955","8,713,192,668"
Profit for the year,—,—,"5,229",—,—,—,—,—,"870,6,099"
Other comprehensive income (net of tax),—,—,"1,118","1,913",459,"4,758",—,"8,248","161,8,409"
,debt instruments at fair value through other comprehensive income,—,—,—,"1,746",—,—,—,"1,746,4,1,750"
,equity instruments designated at fair value through other comprehensive income,—,—,—,167,—,—,—,"167,45,212"
,cash flow hedges,—,—,—,—,459,—,—,"459,12,471"
,changes in fair value of financial liabilities designated at fair value upon initial recognition arising from changes in own credit risk,—,—,167,—,—,—,—,"167,—,167"
,remeasurement of defined benefit asset/ liability,—,—,831,—,—,—,—,"831,3,834"
,share of other comprehensive income of associates and joint ventures,—,—,(73),—,—,—,—,"(73),—,(73)"
,effects of hyperinflation,—,—,193,—,—,—,—,"193,—,193"
,exchange differences,—,—,—,—,"4,758",—,—,"4,758,97,4,855"
Total comprehensive income for the year,—,—,"6,347","1,913",459,"4,758",—,"13,477","1,031,14,508"
Shares issued under employee remuneration and share plans,346,—,(339),—,—,—,—,7,"—,7"
Capital securities issued1,—,"1,500",(3),—,—,—,—,"1,497","—,1,497"
Dividends to shareholders,—,—,"(1,331)",—,—,—,—,"(1,331)","(692),(2,023)"
Redemption of securities2,—,—,"(1,450)",—,—,—,—,"(1,450)","—,(1,450)"
Transfers6,—,—,435,—,—,—,—,(435),"—,—"
Cost of share-based payment arrangements,—,—,434,—,—,—,—,434,"—,434"
Other movements,—,—,43,(200),11,—,—,(146),"(500),(646)"
At 31 Dec 2020,"24,624","22,414","140,572","1,816",457,"(20,375)","26,935","196,443","8,552,204,995"
At 1 Jan 2019,"23,789","22,367","138,191","(1,532)",(206),"(26,133)","29,777","186,253","7,996,194,249"
Profit for the year,—,—,"7,383",—,—,—,—,"7,383","1,325,8,708"
Other comprehensive income (net of tax),—,—,"(1,759)","1,424",204,"1,000",—,869,"148,1,017"
,debt instruments at fair value through other comprehensive income,—,—,—,"1,146",—,—,—,"1,146,6,1,152"
,equity instruments designated at fair value through other comprehensive income,—,—,—,278,—,—,—,"278,88,366"
,cash flow hedges,—,—,—,—,204,—,—,"204,2,206"
,changes in fair value of financial liabilities designated at fair value upon initial recognition arising from changes in own credit risk,—,—,"(2,002)",—,—,—,—,"(2,002),—,(2,002)"
,remeasurement of defined benefit asset/ liability,—,—,5,—,—,—,—,"5,8,13"
,share of other comprehensive income of associates and joint ventures,—,—,21,—,—,—,—,"21,—,21"
,effects of hyperinflation,—,—,217,—,—,—,—,"217,—,217"
,exchange differences,—,—,—,—,"1,000",—,—,"1,000,44,1,044"
Total comprehensive income for the year,—,—,"5,624","1,424",204,"1,000",—,"8,252","1,473,9,725"
Shares issued under employee remuneration and share plans,557,—,(495),—,—,—,—,62,"—,62"
Shares issued in lieu of dividends and amounts arising thereon,—,—,"2,687",—,—,—,—,"2,687","—,2,687"
Dividends to shareholders,—,—,"(11,683)",—,—,—,—,"(11,683)","(777),(12,460)"
Redemption of securities2,—,—,"(1,496)",(12),—,—,—,"(1,508)","—,(1,508)"
Transfers6,—,—,"2,475",—,—,—,—,"(2,475)","—,—"
Cost of share-based payment arrangements,—,—,478,—,—,—,—,478,"—,478"
Cancellation of shares7,(68),—,"(1,000)",—,—,—,—,68,"(1,000),—"
Other movements,—,—,414,—,—,—,—,414,"21,435"
At 31 Dec 2019,"24,278","20,871","136,679",(108),(2),"(25,133)","27,370","183,955","8,713,192,668"
