Footnotes,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total
Europe,-,680,529,1809,"1187,4205"
UK,1,357,543,1769,"1555,4224"
of which: HSBC UK Bank plc (RFB),113,167,90,124,246
of which: HSBC Bank plc (NRFB),109,36,1030,454,1339
of which: Holdings and other,579,746,829,977,3131
France,340,168,347,310,1165
Germany,17,16,197,15,215
Switzerland,,4,1,10,16
other,2,170,703,,985
Asia,5031,1944,4002,1855,12832
Hong Kong,4927,1787,1674,181,8207
Australia,108,76,138,7,315
India,16,187,593,228,1024
Indonesia,-6,-14,147,-13,114
mainland China,-34,295,506,1845,2612
Malaysia,8,33,141,-55,127
Singapore,45,-644,239,-12,372
Taiwan,9,18,104,-2,129
other,-42,206,460,52,676
Middle East and North Africa,-15,-120,478,-324,19
Egypt,68,46,185,-1,298
UAE,-21,-210,102,-39,-168
Saudi Arabia,21,-,26,-264,-217
other,-83,44,165,-20,106
North America,-449,366,712,-461,168
US,-547,139,573,-391,-226
Canada,52,225,100,-67,310
other,46,2,39,-3,84
Latin America,-183,-22,233,-65,-37
Mexico,-115,-106,59,-25,-187
other,-68,84,174,-40,150
Year ended 31 Dec 2020,3704,1639,3616,-182,8777
