Renegotiated loans and advances to customers at amortised cost by stage allocation,Renegotiated loans and advances to customers at amortised cost by stage allocation,Renegotiated loans and advances to customers at amortised cost by stage allocation,Renegotiated loans and advances to customers at amortised cost by stage allocation,Renegotiated loans and advances to customers at amortised cost by stage allocation,Renegotiated loans and advances to customers at amortised cost by stage allocation
,Stage 1,Stage 2,Stage 3,POCI,Total
,$m,$m,$m,$m,$m
Gross carrying amount,,,,,
Personal,二,二,"2,429",二,"2,429"
-first lien residential mortgages,1,1,"1,692",_,"1,692"
-other personal lending,1,1,737,,737
Wholesale,328,989,"3,929",239,"5,485"
- corporate and commercial,324,972,"3,903",239,"5,438"
- non-bank financial institutions,4 328,17,26,二,47
At 31Dec 2020,,989,"6,358",239,"7,914"
Allowance for ECL,,,,,
Personal,二,二,(452),二,(452)
-first lien residential mortgages,1,1,(152),1,(152)
- other personal lending,二,1,(300),二,(300)
Wholesale,(10),(36),"(1,276)",(86),"(1,408)"
- corporate and commercial,(10),(36),"(1,263)",(86),"(1,395)"
- non-bank financial institutions At 31Dec 2020,二 (10),二 (36),"(13) (1,728)",二 (86),"(13) (1,860)"
Gross carrying amount,Gross carrying amount,Gross carrying amount,Gross carrying amount,Gross carrying amount,Gross carrying amount
Personal,二,二,"2,207",二,"2,207"
-first lien residential mortgages,1,1,"1,558",、,"1,558"
- other personal lending,1,,649,,649
Wholesale,"1,168","1,179","3,353",310,"6,010"
- corporate and commercial,"1,168","1,179","3,290",310,"5,947"
- non-bank financial institutions,二,1,63,二,
At31Dec 2019,"1,168","1,179","5,560",310,"63 8,217"
Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL
Personal,1,1,(397),1,（397)
-first lien residential mortgages,1,,(181),,(181
-other personal lending,二,二,(216),1 二,(216)
Wholesale,(13),（55）,"(1,349)",(86),"(1,503)"
- corporate and commercial,(13,(55),"(1,316",（(86,"(1,470"
- non-bank financial institutions,二,1,(33),二,(33)
At31Dec 2019,(13),（55）,"(1,746)",(86),"(1,900)"
