,Nominal amount,Nominal amount,Nominal amount,Nominal amount,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL
,Stage 1,Stage 2,Stage3,POCI,Total,Stage 1,Stage 2,Stage 3,POCI,Total
,$m,$m,$m,$m,$m,$m,$m,$m,$m,$m
Corporate and commercial,"271,678","20,880",757,13,"293,328",(132),(151),(68),二,(351)
Financial,"101,345","1,447",5,二,"102,797",（7),(2),(1),二,（10）
At31Dec 2019,"373,023","22,327",762,13,"396,125",(139),(153),(69),,(361)
By geography,,,,,,,,,,
Europe,"190,604","7,852",645,13,"199,114",(60),(43),(56),,(159)
- of which: UK,"76,013","4,193",494,9,"80,709",（48),(32),(31),,(111)
Asia,"60,759","3,762",8,二,"64,529",(43),(33),（4),,(80)
-of which: Hong Kong,"27,047","2,114",5,二,"29,166",(14),(23),(2),1,(39
MENA,"5,690",621,31,1,"6,342",(12),(13),（4),1,(29)
North America,"112,812","9,933",77,一,"122,822",(22),(62),（5),1,(89)
Latin America,"3,158",159,1,1,"3,318",(2),(2),二,1,(4)
At31Dec 2019,"373,023","22,327",762,13,"396,125",(139),(153),(69),1,(361)
