Place of incorporation or registration,HSBC’s interest %,Share class,At 31 Dec 2020,Place of incorporation or registration,HSBC’s interest %,Share class,At 31 Dec 2020
Europe,,"£1 Ordinary, $0.01 Non-cumulative third Dollar Preference",,England and Wales,100,"£1 Ordinary, $0.01 Non-cumulative third Dollar Preference",",England and Wales,100,£1 Ordinary,"
HSBC Bank plc,,"£1 Ordinary, $0.01 Non-cumulative third Dollar Preference",,France,99.99,€5 Actions,",Germany,99.33,Stückaktien no par value,"
HSBC UK Bank plc,,£1 Ordinary,,France,99.99,€5 Actions,",Germany,99.33,Stückaktien no par value,"
HSBC Continental Europe,,£1 Ordinary,,France,99.99,€5 Actions,",Germany,99.33,Stückaktien no par value,"
HSBC Trinkaus & Burkhardt AG,,Stückaktien no par value,,France,99.99,€5 Actions,",Germany,99.33,Stückaktien no par value,"
Asia,,HK$5 Ordinary,,Hong Kong,62.14,HK$5 Ordinary,",Hong Kong,100,Ordinary no par value,"
Hang Seng Bank Limited,,HK$5 Ordinary,,Hong Kong,62.14,HK$5 Ordinary,",Hong Kong,100,Ordinary no par value,"
HSBC Bank (China) Company Limited,,CNY1 Ordinary,,People’s Republic of China,100,CNY1 Ordinary,",People’s Republic of China,100,CNY1 Ordinary,"
HSBC Bank Malaysia Berhad,,RM0.5 Ordinary,,Malaysia,100,RM0.5 Ordinary,",Malaysia,100,RM0.5 Ordinary,"
HSBC Life (International) Limited,,HK$1 Ordinary,,Bermuda,100,HK$1 Ordinary,",Bermuda,100,HK$1 Ordinary,"
The Hongkong and Shanghai Banking Corporation Limited,,Ordinary no par value,,Hong Kong,100,Ordinary no par value,",Hong Kong,100,Ordinary no par value,"
Middle East and North Africa,,$1 Ordinary and $1 Cumulative Redeemable Preference shares (CRP),,United Arab Emirates,100,$1 Ordinary and $1 Cumulative Redeemable Preference shares (CRP),",United Arab Emirates,100,$1 Ordinary and $1 Cumulative Redeemable Preference shares (CRP),"
HSBC Bank Middle East Limited,,$1 Ordinary and $1 Cumulative Redeemable Preference shares (CRP),,United Arab Emirates,100,$1 Ordinary and $1 Cumulative Redeemable Preference shares (CRP),",United Arab Emirates,100,$1 Ordinary and $1 Cumulative Redeemable Preference shares (CRP),"
North America,,Common no par value and Preference no par value,,Canada,100,Common no par value and Preference no par value,",US,100,$100 Common and $0.01 Preference,"
HSBC Bank Canada,,Common no par value and Preference no par value,,Canada,100,Common no par value and Preference no par value,",US,100,$100 Common and $0.01 Preference,"
"HSBC Bank USA, N.A.",,$100 Common and $0.01 Preference,,Canada,100,Common no par value and Preference no par value,",US,100,$100 Common and $0.01 Preference,"
Latin America,,MXN2 Ordinary,,Mexico,99.99,MXN2 Ordinary,",Mexico,99.99,MXN2 Ordinary,"
