,2020$m,2020$m,2020$m,2019$m,,
Significant items,"2,973","2,973","2,973","9,607",,
- costs of structural reform1,1(54),1(54),1(54),"1581,281",,
- customer redress programmes,1(54),1(54),1(54),"1581,281",,
- impairment of goodwill and other intangibles,"1,090171,908","1,090171,908","1,090171,908","7,3491",,
past service costs of guaranteed minimum pension benefits equalisation,"1,090171,908","1,090171,908","1,090171,908","7,3491",,
-restructuring and other related costs²,"1,090171,908","1,090171,908","1,090171,908",,"1,908",827(61)
- settlements and provisions in connection with legal and regulatory matters,,12,12,(61)53,,
- currency translation on significant items,,12,12,(61)53,,
Currency translation,,,,223,,
Year ended 31 Dec,"2,973","2,973","2,973","9,830",,
