Hedging instrument,Impacted by Ibor reform,Fair value hedges,At 31 Dec 2020,Fair value hedges,At 31 Dec 2019,Not impacted by Ibor reform,Notional amount
€,$m,,$m,,$m,$m,$m
£,$m,,$m,,$m,$m,$m
$,$m,,$m,,$m,$m,$m
Other,$m,"4,290","5,393","21,081","3,242","34,006",二
Total,$m,"3,928","5,222","24,500","3,119","36,769",一
$m,$m,,,,,,
Fair value hedges,"4,290","5,393","21,081","3,242","34,006","34,006","34,006"
At 31 Dec 2020,"4,290","5,393","21,081","3,242","34,006",一,"34,006"
Fair value hedges,"3,928","5,222","24,500","3,119","36,769",一,"36,769"
At 31 Dec 2019,"3,928","5,222","24,500","3,119","36,769",,"36,769"
