,Of which: Total,Of which: Total,Of which: Total,Of which: Total,Of which: Total,Of which: Total
,Gross carrying/,ECL,UK Gross carrying/,ECL,Hong Kong Gross carrying/ $m,Ecl coverage
,nominal amount $m,coverage %,nominal amount $m,coverage %,nominal amount,%
RatedCRR/PD1 to7,,,,,,
Not collateralised,"64,046",0.3,"10,527",1.1,"30,506",1
Fully collateralised,"89,664",0.3,"16,483",0.4,"41,861",0.1
Partially collateralised (A):,"6,728",0.4,"2,174",0.3,965,0.2
-collateralvalue onA,"3,994",,"1,157",,741,
Total,"160,438",0.3,"29,184",0.6,"73,332",
Rated CRR/PD8,,,,6.7,,
Not collateralised,40 634,22.5,15,12.5,1,
Fully collateralised,,8.2,104,,244,12.7
LTV ratio:,282,,15,6.7,,
- less than 50%,321,7.1 9.0,75,13.3,102 138,11.8 13.0
51% to 75%,14,21.4,5,20.0,4,25.0
76% to 90%,17,,9,1,1,
- 91% to 100%,,1,2,50.0,,1
Partially collateralised (B): -collateralvalueonB,9,11.1,1,,二,二
Total,9,9.1,121,12.4,1 244,
,683,,,,,12.7
Rated CRR/PD9 to 10,"1,038",45.3,635,50.7,三,
Not collateralised Fully collateralised,584,11.5,348,9.5,20,5.0
LTV ratio:,,,,,,
- less than 50%,178,13.5,56,5.4,11,二
-51% to 75%,161,15.5,128,12.5,3,二
-76% to 90%,149,6.7,139,5.8,1,1
-91% to 100%,96,8.3,25,24.0,6,16.7
Partially collateralised (C):,474,45.6,195,27.7,二,一
- collateral value on C,331,,120,,-,
Total,"2,096",35.9,"1,178",34.7,20,5.0
At31Dec 2020,"163,217",0.8,"30,483",2.0,"73,596",0.1
Rated CRR/PD1 to 7,,,,,,
Not collateralised,"64,850",0.1,"9,119",0.3,"32,918",1
Fully collateralised,"94,299",0.1,"19,833",0.1,"43,299",0.1
Partially collateralised (A): -collateral valueon A,"7,052 3,796",0.2,971,0.1,"1,669",0.1
Total,"166,201",0.1,"586 29,923",,"1,167",
Rated CRR/PD8,,,,0.1,"77,886",
Not collateralised,10,50.0,4,100.0,,
Fully collateralised,204,4.9,121,5.0,,
LTV ratio:,,,,,1,
-less than 50%,47,8.5,27,14.8,,
-51% to 75%,120,3.3,68,1.5,,
76% to 90%,25,4.0,15,6.7,,
-91% to 100%,12,8.3,11,,,
Partially collateralised (B):,11,,7,,,
-collateral value onB,9,一,5,,,
Total,225,6.7,132,7.6,,
Rated CRR/PD9 to 10,,,,,,
Not collateralised,315,57.8,66,92.4,1,1
Fully collateralised,557,14.9,404,12.9,17,11.8
LTV ratio:,,,,,,
- less than 50%,87,16.1,42,7.1,6,16.7
-51% to 75%,90,7.8,69,43,10,二
76% to 90%,89,15.7,72,4.2,,
-91% to 100%,291,16.5,221,19.5,1,二 100.0
Partially collateralised (C):,774 380,41.6,507,27.8,二,
