Number of MRTs,Cash-based,Share-based,Total,Cash-based,Of which: deferred,Share-based,Of which: deferred,Other forms,Of which: deferred,Total
Executive Directors,2,2.8,3.4,6.2,—,—,11.2,9.6,—,11.2
Non-executive Directors,12,7.0,—,7.0,—,—,—,—,—,7.0
Senior management,15,32.9,—,32.9,17.1,10.3,19.6,12.8,—,36.7
Investment banking,541,342.4,—,342.4,130.6,65.7,138.6,74.6,—,269.2
Retail banking,194,104.2,—,104.2,34.8,15.2,34.8,17.5,—,69.6
Asset management,33,20.5,—,20.5,8.1,3.8,5.7,3.0,2.7,16.5
Corporate functions,124,69.9,—,69.9,22.5,10.4,23.2,11.9,—,45.7
Independent control functions,145,67.6,1.2,68.8,18.0,6.1,14.9,7.6,—,32.9
All other,83,64.3,1.3,65.6,17.7,9.0,18.5,10.3,—,36.2
Total,1149,711.6,5.9,717.5,248.8,120.5,266.5,147.3,2.7,518.0
