,2020,2020,2019,2019,2018,2018,
,WPB Footnotes,All global businesses $m,WPB $m,All global businesses $m,WPB $m,All global businesses $m,
,WPB Footnotes,All global businesses $m,WPB $m,All global businesses $m,WPB $m,All global businesses $m,$m
Net interest income,"2,241","2,408","2,167","2,308","2,060","2,217",
Net fee income/(expense),(518),(556),（717),(742),(593),(567),
-fee income,110,131,108,130,186,277,
-fee expense,(628),(687),(825),(872),（779),(844),
Net income from/(expenses) financial instruments held for trading or managed on a fair value basis,76,95,(82),(82),84,27,
"Net income/(expense)from assets and liabilities of insurance businesses,",,,,,,,
"including related derivatives,measured at fair value through profit or loss","2,182","2,137",3.582,"3,565","(1,600)","(1,627)",
Gains less losses from financial investments Net insurance premium income,13,"13 10,212",5,"5 10,763",54,56,
Other operating income,"9,717 336",351,"10,398","1,805","10,280 796","10,824",
Of which: PVIF,,,"1,789",1763,,783,
Total operatingincome,"370 14,047","382 14,660","1,718 17,142","17,622","678 11,081",685,
Net insurance claims and benefits paid and movement in liabilities to,,,,,,"11,713",
policyholders Net operating income before change in expected credit losses and,"(12,173)","(12,683)","(14,503)","(14,902)","(9,213)","（9,693)",
other credit impairment charges 3,"1,874","1,977",2.639,"2,720","1,868","2,020",
Change in expected credit losses and other credit impairment charges,(80),(92),（80）,(86),(1),1,
Netoperating income Total operating expenses,"1,794","1,885","2,559","2,634","1,867","2,019",
Operating profit,(479),(509),(471),(497),(437),(462),
Share of profit in associates and joint ventures,"1,315","1,376 1","2,088","2,137 43","1,430","1,557",
Profit before taxof insurance manufacturing operations 4,1,"1,377",43,"2,180",31,31,
Annualised new business premiums of insurance manufacturing operations,"1,316 2,257","2,307","2,131","3,403","1,461","1,588",
Insurance distribution income earned by HSBC bank channels,737,801,"3,324 945","1,041","3,179 949","3,255",
,,,,,,"1,040",
