Derivatives (Note 15),,Gross amounts,Amounts offset,Net amounts in the balance sheet,Financial instruments,Non-cash collateral,Cash collateral,Net amount,Amounts not subject to enforceable netting arrangements,Total
Footnotes,Gross amounts,Amounts offset,Net amounts in the balance sheet,Financial instruments,Non-cash collateral,Cash collateral,Net amount,Amounts not subject to enforceable netting arrangements,,
Financial assets,,,,,,,,,,
Derivatives (Note 15),"368,057","(69,103)","298,954","(230,758)","(13,766)","(48,154)","6,276","8,772",,
"Reverse repos,stock","300,000","(100,000)","200,000","(150,000)","(5,000)","(30,000)","5,000","50,000",,
borrowing and similar agreements classified as:,2,,,,,,,,,
trading assets,"21,204",(461),"20,743",(709),"(20,030)",-,4,"1,534",,
non-trading assets,"318,424","(115,678)","202,746","(13,936)","(188,646)",(73),91,"28,258",,
Loans and advances to customers,3,"30,983","(10,882)","20,101","(17,031)",-,-,"3,070",428,"20,529"
At 31 Dec 2020,"738,668","(196,124)","542,544","(262,434)","(222,442)","(48,227)","9,441","38,992",,
Derivatives (Note 15),1,"277,261","(41,739)","235,522","(171,371)","(13,095)","(47,404)","3,652","7,473",
trading assets,"21,465",(280),"21,185","(1,553)","(19,630)",-,2,165,,
non-trading assets,"349,561","(134,772)","313,789","(28,326)","(184,495)",(180),279,"37,540",,
borrowing and similar agreements classified as:,2,,,,,,,,,
trading assets,"21,465",(280),"21,185","(1,553)","(19,630)",-,2,165,,
non-trading assets,"348,561","(134,772)","213,789","(28,826)","(184,495)",(189),279,"27,549",,
Loans and advances to customers,3,"33,039","(10,128)","22,911","(18,893)",-,-,"4,018",735,"23,646"
At 31 Dec 2019,,"680,326","(186,919)","493,407","(220,643)","(217,220)","(47,593)","7,951","35,922",
Financial liabilities,,,,,,,,,,
Derivatives (Note 15),1,"1,364,121","(69,103)","295,018","(230,758)","(21,387)","(37,343)","5,530","7,983",
"Repos, stock lending and similar agreements classified as:",2,,,,,,,,,
trading liabilities,"16,626",(461),"16,165",(709),"(15,456)",-,-,159,,
non-trading liabilities,"200,999","(115,678)","85,321","(13,936)","(71,142)",(215),28,"26,580",,
Customer accounts,4,"41,177","(10,882)","30,295","(17,031)",-,-,"13,264",13,"30,308"
At 31 Dec 2020,,"622,923","(196,124)","426,799","(262,434)","(107,985)","(37,558)","18,822","34,735",
Derivatives (Note 15),1,"275,286","(41,739)","233,547","(171,371)","(20,137)","(37,844)","4,195","5,950",
"Repos, stock lending and similar agreements classified as:",2,,,,,,,,,
trading liabilities,"10,494",(280),"10,214","(1,553)","(8,656)",-,5,46,,
non-trading liabilities,"232,675","(134,772)","97,903","(28,826)","(68,638)",(357),82,"42,441",,
Customer accounts,4,"36,750","(10,128)","26,622","(18,893)",-,-,"7,729",31,"26,653"
At 31 Dec 2019,,"555,205","(186,919)","368,286","(220,643)","(97,431)","(38,201)","12,011","48,468",
