Repo1,Sale and repurchase transaction
Reverse repo,Security purchased under commitments to sell
RFB,Ring-fenced bank
RFR,Risk-free rate
RMBS,Residential mortgage backed security
RMM,Group Risk Management Meeting
RNIV,Risk not in VaR
RoE,Return on average ordinary shareholders'equity
RoTE,Return on average tangible equity
RWA1,Risk-weighted asset
S,
SABB,The Saudi British Bank
SAPS,Self-administered pension scheme
SDG,United Nation's Sustainable Development Goals
SE1,Structured entity
SEC,Securities and Exchange Commission (US)
ServCo group,Separately incorporated group of service companies planned in response to UK ring-fencing proposals
Sibor,Singapore interbank offered rate
SIC,Securities investment conduit
SID SME,Senior Independent Director
SOFR,Small and medium-sized enterprise
Solitaire,Secured Overnight Financing Rate
,"Solitaire Funding Limited,a special purpose entity managed by HSBC"
Sonia,Sterling Overnight Index Average
SPE,Special purpose entity
T,
T1,Tier 1
T2,Tier2
TCFD1,Task Force on Climate-related Financial Disclosures
TLAC1,Total loss-absorbing capacity
TRLibor,Turkish Lira interbank offered rate
TSR1,Total shareholder return
U,
UAE,United Arab Emirates
UK,UnitedKingdom
UN,United Nations
Us,United States of America
V,
VaR1,Value at risk
vIU,Value in use
W,
WPB,"Wealth and Personal Banking,a global business"
