,Fixed ($m),Fixed ($m),Fixed ($m),Fixed ($m),Variable² ($m),Variable² ($m),Variable² ($m),Variable² ($m),Variable² ($m),Variable² ($m),Variable² ($m),Total,,
,Number of MRTs,Cash- based1,Share- based,Total,Cash- based,of which: deferred,Share- based3,of which: deferred,Other forms,of which: deferred,Total,Total,,
,Executive Directors,2,2.8,3.4,6.2,,,11.2,9.6,,一,Total,11.2,17.4
Non-executive Directors,12,7.0,一,7.0,一,一,,1,一,一,一,7.0,,
Senior management,15,32.9,1,32.9,17.1,10.3,19.6,12.8,二,二,36.7,69.6,,
Investment banking,541,342.4,,342.4,130.6,65.7,138.6,74.6,1,1,269.2,611.6,,
Retailbanking,194,104.2,1,104.2,34.8,15.2,34.8,17.5,二,二,69.6,173.8,,
Asset management,33,20.5,1,20.5,8.1,3.8,5.7,3.0,2.7,1.8,16.5,37.0,,
Corporate functions,124,69.9,1,69.9,22.5,10.4,23.2,11.9,1,1,45.7,115.6,,
Independent control functions,145,,1.2,68.8,18.0,6.1,14.9,7.6,,,32.9,101.7,,
All other,83,67.6 64.3,1.3,65.6,17.7,9.0,18.5,10.3,1,,36.2,101.8,,
Total,"1,149",711.6,5.9,717.5,248.8,120.5,266.5,147.3,二 2.7,1 1.8,518.0,"1,235.5",,
