Total shareholders' equity,2020,2019,2018
$,$m,$m,$m
Total shareholders' equity,"196,443","183,955","186,253"
Preference shares and other equity instruments,"(22,414)","(22,276)","(23,772)"
Total ordinary shareholders' equity,"174,029","161,679","162,481"
"Goodwill, PVIF and intangible assets (net of deferred tax)","(17,606)","(17,535)","(22,425)"
Tangible ordinary shareholders' equity,"156,423","144,144","140,056"
Basic number of $0.50 ordinary shares outstanding,"20,184","20,206","19,981"
$,$,$,$
Value per share,,,
Net asset value per ordinary share,8.62,8.00,8.13
Tangible net asset value per ordinary share,7.75,7.13,7.01
