Funding sources,Audited,2020,$m,2019,$m
Customer accounts,Customer accounts,1642780,1439115,,
Deposits by banks,Deposits by banks,82080,59022,,
Repurchase agreements - non-trading,Repurchase agreements - non-trading,111901,140344,,
Debt securities in issue,Debt securities in issue,95492,104555,,
Cash collateral, margin and settlement accounts,"Cash collateral, margin and settlement accounts",78565,71002,
Subordinated liabilities,Subordinated liabilities,21951,24600,,
Financial liabilities designated at fair value,Financial liabilities designated at fair value,157439,164466,,
Liabilities under insurance contracts,Liabilities under insurance contracts,107191,97439,,
Trading liabilities,Trading liabilities,75266,83170,,
repos,repos,11728,558,,
stock lending,stock lending,4597,9702,,
other trading liabilities,other trading liabilities,58941,72910,,
Total equity,Total equity,204995,192668,,
Other balance sheet liabilities,Other balance sheet liabilities,406504,338771,,
At 31 Dec,At 31 Dec,2984164,2715152,,
