Extant at 31 December 2020,UK,Hong Kong,US,Other major markets^1,2,3,Total
Market-wide schemes,Number of accounts in mortgage customer relief,6,--,--,5,11,
Drawn loan value of accounts in mortgage customer relief,$m,"1,412",--,--,908,"2,320",
Number of accounts in other personal lending customer relief,000s,15,--,--,28,43,
Drawn loan value of accounts in other personal lending customer relief,$m,140,--,--,386,526,
HSBC-specific measures,Number of accounts in mortgage customer relief,--,3,2,3,8,
Drawn loan value of accounts in mortgage customer relief,$m,7,"1,124",864,360,"2,355",
Number of accounts in other personal lending customer relief,000s,--,1,6,18,25,
Drawn loan value of accounts in other personal lending customer relief,$m,--,75,67,182,324,
Total personal lending to major markets under market-wide schemes and HSBC-specific measures,Number of accounts in mortgage customer relief,6,3,2,8,19,
Drawn loan value of accounts in mortgage customer relief,$m,"1,419","1,124",864,,"1,268,4,675",
Number of accounts in other personal lending customer relief,000s,15,1,6,46,68,
Drawn loan value of accounts in other personal lending customer relief,$m,140,75,67,568,850,
Market-wide schemes and HSBC-specific measures - mortgage relief as a proportion of total mortgages,%,0.9,1.2,4.7,1.6,1.4,
Market-wide schemes and HSBC-specific measures - other personal lending relief as a proportion of total other personal lending loans and advances,%,0.7,0.2,3.1,1.1,0.8,
