,2020,2020,2020,2019,2019,2019,2018,2018,2018
,Per share $,Total,Settled in scrip $m,Per share,Total,Settled in scrip,Per share,Total,Settled in scrip
Dividends paid on ordinary shares,,$m,,$,$m,$m,$,$m,$m
In respect of previous year:,,,,,,,,,
-fourth interim dividend,1,一,,0.21,"4,206","1,160",0.21,"4,197",393
In respect of current year:,,,,,,,,,
- first interim dividend,二,二,一,0.10,"2,013",375,0.10,"2,008",213
- second interim dividend,二,二,一,0.10,"2,021",795,0.10,"1,990",181
- third interim dividend,二,二,1,0.10,"2,029",357,0.10,"1,992",707
Total,二,1,,0.51,"10,269","2,687",0.51,"10,187","1,494"
Total dividends on preference shares classified as equity (paid quarterly),62.00,90,,62.00,90,,62.00,90,
Total coupons on capital securities classified as,,,,,,,,,
equity Dividends to shareholders,"1,241 1,331","1,241 1,331",,"1,324 11,683","1,324 11,683",,"1,270 11,547","1,270 11,547",
