Holdings Board,9,9
Holdings Board,5,36%
Group Executive Committee,13,81%
Group Executive Committee,3,19%
Combined executive committee and direct reports,141,69%
Combined executive committee and direct reports,62,31%
Senior leadership,"6,621",70%
Senior leadership,"2,875",30%
Senior leadership WPB,"1,059",66%
Senior leadership WPB,545,34%
Senior leadership CMB,710,70%
Senior leadership CMB,300,30%
Senior leadership GBM,"2,218",78%
Senior leadership GBM,635,22%
Senior leadership Digital Business Services,732,72%
Senior leadership Digital Business Services,285,28%
Senior leadership Digital Business Services,,
All employees,"111,422",48%
All employees,"119,618",52%
