,Gross carrying/nominal amount1,Gross carrying/nominal amount1,Gross carrying/nominal amount1,Gross carrying/nominal amount1,Gross carrying/nominal amount1,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,Allowance for ECL,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %,ECL coverage %
,Stage 1,Stage2,Stage3POCI²,,Total,Stage 1,Stage 2,Stage3,POCl²,Total,Stage 1,,Stage 2,Stage 3,POCI²,Total,
,$m,$m,$m,$m,,$m,$m,$m,$m,$m,$m,%,%,%,%,%,
Loans and advances to customers at,,,,,,,,,,,,,,,,,
amortised cost -personal,"951,583 413,669","80,182 15,751","13,378 4,851",332,"1,045,475 434,271","(1,297) (583)","(2,284) (1,336)","(5,052) (1,215)",（99) 1,"(8,732) (3,134)",0.1 0.1,2.8 8.5,37.8 25.0,29.8,0.8 0.7,,
corporate and commercial,"472,253","59,599","8,315",332,"540,499",(672),(920),"(3,747)",(99),"(5,438)",0.1,1.5,45.1,29.8,1.0,,
non-bank financial,,,,,,,,,,,,,,,,,
institutions Loans and advances to,"65,661","4,832",212,,"70,705",(42),(28）,（90),1,(160),0.1,0.6,42.5,,0.2,,
banks at amortised cost Other financial assets measured,"67,769","1,450",一,1,"69,219",(14),(2),1,1,(16),,0.1,,一,,,
at amortised cost Loan and other,"613,200","1,827",151,1,"615,179",(38),(38),(42),一,(118),,2.1,27.8,一,,,
credit-related commitments,"577,631","21,618",771,9,"600,029",(137),(133),(59),,(329),,0.6,7.7,,0.1,,
-personal,"221,490","1,630",194,二,"223,314",(13,（2,1,1,(15,1,0.1,1,1,二,,
- corporate and commercial,"259,138","18,804",573,9,"278,524",(118),(130),(59),1,(307),,0.7,10.3,1,0.1,,
-financial Financial,"97,003","1,184",4,1,"98,191",(6),(1,1,1,（7,1,0.1,1,1,二,,
guarantees,"17,684","2,340",186,4,"20,214",(16),(22),(10),1,(48),0.1,0.9,5.4,1,0.2,,
-personal,802,1,1,1,804,(1,1,1,1,11,0.1,1,1,,0.1,,
- corporate and commercial,"12,540","2,076",184,4,"14,804",(14),(21),(9),,(44),0.1,1.0,4.9,,0.3,,
-financial,"4,342",263,1,一,"4,606",(1),(1,(1),1,（3,二,0.4,100.0,1,0.1,,
At 31Dec 2019,"2,227,867","107,417","14,486",346,"2,350,116","(1,502)","(2,479)","(5,163)",(99),"(9,243)",0.1,2.3,35.6,28.6,0.4,,
