Favourable change,Increase in VIU,VIU,Unfavourable change,Decrease in VIU,VIU
"At 31 Dec 2020,",,-,Long-term profit growth rate,(50),(1.3)
"At 31 Dec 2020,",,-,Long-term asset growth rate Discount rate,(50) 二,1.4 1.2
"At 31 Dec 2020,",,-,二 53,二 (1.2),21.8 20.6
"At 31 Dec 2020,2020 to 2024: 96",2.3,24.1,2025 onwards: 76,,-
"At 31 Dec 2020,",,-,Expected credit losses as a percentage of customer advances,2025 onwards: 95,
"At 31 Dec 2020,Risk-weighted assets as a percentage of total assets",(40),0.1,166,(0.8),21.0
"At 31 Dec 2020,Operating income growth rate",2,0.2,22.0,(69),(1.5)
"At 31 Dec 2020,Cost-income ratio",(149),1.3,23.1,120,(1.2)
"At 31 Dec 2020,Long-term effective tax rate",(316),0.9,22.7,820,(2.2)
"At 31 Dec 2020,Capital requirements – capital adequacy ratio",,,21.8,297,(7.8)
"At 31 Dec 2020,Capital requirements – tier 1 capital adequacy ratio",,,21.8,263,(5.3)
"At 31 Dec 2019,",,-,Long-term profit growth rate,(50),(1.3)
"At 31 Dec 2019,",,-,"Long-term asset growth rate, Discount rate",(50) (54),1.4 1.4
"At 31 Dec 2019,",,-,二 56,二 1,21.5 21.5
"At 31 Dec 2019,",,-,Expected credit losses as a percentage of customer advances,"2019 to 2023: 90, 2024 onwards: 70",1.0
"At 31 Dec 2019,Risk-weighted assets as a percentage of total assets",(96),0.4,,12,-
"At 31 Dec 2019,Operating income growth rate",14,,"-,-","2019 to 2023: 108, 2024 onwards: 81",
"At 31 Dec 2019,Cost-income ratio",(175),1.0,22.5,95,(1.2)
"At 31 Dec 2019,Long-term effective tax rate",(352),1.0,22.5,250,(0.7)
"At 31 Dec 2019,Capital requirements – capital adequacy ratio",,,21.5,337,(8.2)
"At 31 Dec 2019,Capital requirements – tier 1 capital adequacy ratio",,,21.5,322,(6.0）
