Footnotes,2020,2019,2018
Footnotes,,$m,$m
Net income/(expense) arising on:,$m,,
Net trading activities,"11,074","16,121","6,982"
Other instruments managed on a fair value basis,"(1,492)","(5,890)","2,549"
Netincome from financial instruments held for trading or managedona fair value basis,"9,582","10,231","9,531"
Financial assets held to meetliabilities under insurance and investment contracts,"2,481","3,830","(1,585)"
Liabilities to customers under investment contracts,,(352),97
"Net income/(expense) from assets and liabilities of insurance businesses, including related",(400),,
"derivatives,measuredat fair value through profit or loss",2.081,"3,478","(1,488)"
Derivatives managed in conjunction with HSBC's issued debt securities,"2,619","2,561",(626)
Other changes in fair value,"(2,388)","(2,471)",529
Changesin fair value of designated debt and related derivatives,231,90,（97
1 Changes in fair value of other financial instruments mandatorily measured atfair value through profit or,,,
loss,455,812,695
Year ended 31Dec,"12,349","14,611","8,641"
