,Hedged item,Hedged item,Hedged item,Hedged item,Hedged item,Ineffectiveness,Ineffectiveness,Ineffectiveness,,
,Carrying amount,Carrying amount,Accumulated fair value hedge adjustments included in carrying amount2,Accumulated fair value hedge adjustments included in carrying amount2,Accumulated fair value hedge adjustments included in carrying amount2,Recognised Change in fair in profit and,Recognised Change in fair in profit and,Recognised Change in fair in profit and,,
,Assets $m,Liabilities,Assets $m,Liabilities,,value1,loss,Profit and loss presentation,,
Hedged risk,,$m,,$m,Balance sheet presentation Financial assets designated,$m,$m,,,
Interest rate³,"102,260",,,,and otherwise mandatorily measured at fair value through other,,,,,
Interest rate³,"102,260",,,,comprehensive income,"2,456",,,,
Interest rate³,6,,,,Loans and advances to,1,(11),,,
Interest rate³,6,,,banks,Loans and advances to,1,,,,
Interest rate³,"2,280",,56,,Loans and advances to customers,21,financial instruments,,,
Interest rate³,"2,280",,56,,,,,,,
Interest rate³,,"12,148 89",,"1,620",Debt securities in issue,21,financial instruments,,(613) 18,
Interest rate³,,"12,148 89",,"3 1,623",Deposits by banks,,,,,
