Profitbefore tax,"6,819","earendedSTDeczots 4,159",942,"1,427","13,347"
Tax expense,（720),"(1,502)",(460),"(1,957)","(4,639)"
Profit after tax,"6,099","2,657",482,（530),"8,708"
"Less atributable to: preference shareholders,other equity holders, non-controling",,,,,
interests,"(1,279)",(846),（784),170,"(2,739)"
Profit attributable to ordinary shareholders of theparent company,"4,820","1,811",(302),(360),"5,969"
Increase in PVIF (net of tax) Significant items (net of tax)and UK bank levy,"(1,207)",（40),二,(1),"(1,248)"
Markets Treasury allocation and other adjustments,"1,641","3,036","4,218",702,"9,597"
"Profit attributable to ordinary shareholders,excluding PVIF,significant items and",1,二,二,2,3
"bank levy Average tangible shareholders'equity excluding fair value of own debt, DVA and","5,255","4,807",3.916,343,"14,321"
other adjustments Return on average tangible equity excluding significant items and UK bank levy (%),"26,627 19.7","36,856 13.0","39,999 9.8","40,397 0.8","143,879 10.0"
