Footnotes,2018 UK,2018 Hong Kong,2018 Mainland China,2018 US,2018 Mexico
Revenue,Reported,"13,597","18,231","2,888","4,741,2,294"
,Currency translation,(616),191,(120),"—,(232)"
,Significant items,115,5,(1),"97,(7)"
,- customer redress programmes,(53),—,—,"—,—"
,"- disposals, acquisitions and investment in new businesses",162,5,(1),fair value movements on financial instruments
,,5,919,—,"—,(7)"
,currency translation on significant items,6,—,—,"—,—"
,Adjusted,"13,096","18,427","2,767","4,838,2,055"
ECL,Reported,(516),(214),(143),"199,(463)"
,Currency translation,4,(3),1,"—,45"
,Adjusted,(512),(217),(142),"199,(418)"
Operating expenses,Reported,"(14,502)","(6,539)","(1,920)","(4,987),(1,303)"
,Currency translation,425,(69),76,"—,131"
,Significant items,519,16,—,"919,—"
,- costs of structural reform,294,9,—,"—,—"
,- customer redress programmes,146,—,—,"—,—"
,: past service costs of guaranteed minimum pension benefits equalisation,39,7,—,"11,—"
,restructuring and other related costs,(176),—,—,"908,—"
,- currency translation on significant items,(12),—,—,"—,—"
,Adjusted,"(13,558)","(6,592)","(1,844)","(4,068),(1,172)"
Share of profit in associates and joint ventures,Reported,25,36,"2,033","—,—"
,Currency translation,(1),—,(90),"—,—"
,Adjusted,24,36,"1,943","—,—"
Profit/(loss) before tax,Reported,"(1,396)","11,514","2,858","(47),528"
,Currency translation,634,119,(133),"—,(56)"
,revenue,115,5,(1),"97,(7)"
,- operating expenses,519,16,—,"919,—"
,Adjusted,(950),"11,654","2,724","969,465"
Loans and advances to customers (net),Reported,"287,144","290,547","38,979","64,011,17,895"
,Currency translation,"19,928","2,945","2,068","—,(180)"
,Adjusted,"307,072","293,492","41,047","64,011,17,715"
Customer accounts,Reported,"399,487","484,897","45,712","82,523,19,936"
,Currency translation,"27,720","4,915","2,426","—,(195)"
,Adjusted,"427,207","489,812","48,138","82,523,19,741"
