,2020,2019,2018
Wagesand salaries,"$m 15,752",$m,"$m 14,751"
Social security costs,"1,378","15,581 1,472","1,490"
Post-employment benefits,946,949,"1,132"
Year ended 31Dec,"18,076","18,002","17,373"
Average number of persons employed by HSBC during the year by global business,,,
Average number of persons employed by HSBC during the year by global business,2020,20191,20181
Wealth and Personal Banking,"144,615","148,680","144,109"
Commercial Banking,"45,631","46,584","48,983"
Global Banking and Markets,"49,055","51,313","49,217"
Corporate Centre,411,478,541
Year ended 31Dec,"239,712","247,055","242,850"
