At,31 Dec,31 Dec,2020,2019,$m,$m
Ref*,,31 Dec,31 Dec,2020,2019,
Common equity tier 1 ('CET1') capital: instruments and reserves,,31 Dec,31 Dec,2020,2019,"$m,$m"
1,Capital instruments and the related share premium accounts,"23,219","22,873",2020,2019,
,ordinary shares,"23,219","22,873",,,
2,Retained earnings,"128,665","127,188",,,
3,Accumulated other comprehensive income (and other reserves)¹,"9,768","1,735",,,
5,Minority interests (amount allowed in consolidated CET1),"4,079","4,865",,,
5a,Independently reviewed interim net profits net of any foreseeable charge or dividend,(252),"(3,381)",,,
6,Common equity tier 1 capital before regulatory adjustments,"165,479","153,280",,,
28,Total regulatory adjustments to common equity tier 1,"(29,429)","(29,314)",,,
29,Common equity tier 1 capital,"136,050","123,966",,,
36,Additional tier 1 capital before regulatory adjustments,,,,,
43,Total regulatory adjustments to additional tier 1 capital,"24,453",,,,
44,Additional tier 1 capital,(60),(60),,,
45,Tier 1 capital,"160,173","24,393",,,
51,Tier 2 capital before regulatory adjustments,"25,722","148,359",,,
57,Total regulatory adjustments to tier 2 capital,"(1,472)","25,192",,,
58,Tier 2 capital,"24,250","-1,401",,,
59,Total capital,"184,423","172,150",,,
