Financial assets,"73,929","7,333","17,514","8,269","107,045"
trading assets,-,-,-,-,-
financial assets designated and otherwise mandatorily measured at fair value through profit or loss,"21,652","7,119","3,081","2,426","34,278"
derivatives,202,-6,9,3,208
financial investments at amortised cost,"35,299",18,"13,436","4,076","52,829"
financial investments at fair value through other comprehensive income,"12,447",-,445,"1,136","14,028"
other financial assets,3,202,543,628,"5,702"
Reinsurance assets,"2,208",72,"1,563",1,"3,844"
PVIF,4,-,-,"8,945","8,945"
Other assets and investment properties,"2,495",2,211,602,"3,310"
Total assets,"78,632","7,407","19,288","17,817","123,144"
Liabilities under investment contracts designated at fair value,-,"2,011","3,881",-,"5,892"
Liabilities under insurance contracts,"77,147","6,151","14,141",-,"97,439"
Deferred tax,5,197,23,6,"1,297"
Other liabilities,-,-,-,"4,410","4,410"
Total liabilities,"77,344","8,185","18,028","5,707","109,264"
Total equity,-,-,-,"13,879","13,879"
Total liabilities and equity at 31 Dec 2019,"77,344","8,185","18,028","19,586","123,143"
