Currency,$,HK$,£,€,Other,Total
Change in Jan 2021 to Dec 2021 (based on balance sheet at 31 December 2020),223,423,555,126,320,"1,647"
+25bps parallel,223,423,555,126,320,"1,647"
-25bps parallel,-227,-343,-548,-88,-302,"-1,508"
+100bps parallel,546,1,267,1,811,"502,1,222,5,348"
-100bps parallel,-565,-749,-1,906,-299,"-1,335,-4,854"
Change in Jan 2020 to Dec 2020 (based on balance sheet at 31 December 2019),59,198,278,116,202,853
+25bps parallel,59,198,278,116,202,853
-25bps parallel,-91,-255,-332,11,-182,-849
+100bps parallel,-16,504,1,123,441,"746,2,798"
-100bps parallel,-490,-1,023,-1,049,"-23,-726,-3,311"
