,Non-credit impaired Stage 2,Non-credit impaired Stage 2,Non-credit impaired Stage 2,Non-credit impaired Stage 2,Credit impaired,Credit impaired,Credit impaired,Credit impaired,Total
,Stage 1,,,,Stage3,Stage3,POCI,POCI,Total
,Stage 1,Gross carrying/ nominal Allowance,Gross carrying/,Allowance,Gross carrying/ Allowance,Gross carrying/,,Gross carrying/ nominal,Total
At1Jan 2019,"$m 922,192",$m (902),"$m 78,266","$m (1,012)","$m 9,239","$m (3,987)",$m 334,"$m (194) 1,010,031","$m $m (6,095)"
Transfers of financial instruments Net remeasurement of ECL arising,"(31,493)",(169),"28,418",276,"3,075",(107),,一,二
from transfer of stage,,223,,(268),,(38),,,(83)
Net new and further lending/ repayments,,,,,,,,"6,382",
Changes to risk parameters -credit,"27,918",(134),"(20,121)",167,"(1,552)",369,137,(1) (51),401
quality Changes to models used for ECL,,102,,(193),1,"(1,514)",,,"(1,656)"
calculation Assets written off,,,一,(56),1,1,(140),,(56)
Credit-related modifications that,,一,1,1,"(1,312)","1,312",,"(1,452)","1,452"
resulted in derecognition,,一,,,(268),125,,(268),125
Foreign exchange and other At 31Dec 2019,"7,035",13,"1,606",(17),107,(66),14 345,"8,762 (99)",(63)
ECL income statement change for the,"925,652",(867),"88,169","(1,103)","9,289","(3,906)",,"1,023,455","(5,975)"
period,,191,,(350),,"(1,183)",,,"(1,394)"
Recoveries,,,,,,,,(52),47
Others,,,,,,,,,(24)
Total ECL income statement change for the period,,,,,,,,,"(1,371)"
