Total,Gross carrying/nominal amount,ECL coverage,UK,Gross carrying/nominal amount,ECL coverage,Hong Kong,Gross carrying/nominal amount,ECL coverage
Stage 1,Not collateralised,"617,592",0.2,"122,554",0.4,"95,061",0.1,"122,554,0.4,95,061,0.1"
Stage 1,Fully collateralised,"110,528",0.2,"28,232",0.3,"40,207",0.1,"28,232,0.3,40,207,0.1"
Stage 1,LTV ratio:,,,,,,,","
Stage 1,LTV ratio:,less than 50%,"37,991",0.1,"7,367",0.3,"14,744","0.1,7,367,0.3,14,744,0.1"
Stage 1,LTV ratio:,51% to 75%,"36,696",0.2,"11,891",0.3,"13,961","0.2,11,891,0.3,13,961,0.2"
Stage 1,LTV ratio:,76% to 90%,"13,542",0.2,"2,624",0.4,"6,522","0.1,2,624,0.4,6,522,0.1"
Stage 1,LTV ratio:,91% to 100%,"22,299",0.1,"6,350",0.1,"4,980","0.1,6,350,0.1,4,980,0.1"
Stage 1,Partially collateralised (A):,"52,892",0.2,"6,826",0.5,"19,163",0.1,"6,826,0.5,19,163,0.1"
Stage 1,Partially collateralised (A):,collateral value on A,"25,903","3,524","9,208","19,163",0.1,"3,524,9,208,19,163,0.1"
Stage 1,Total,"781,012",0.2,"157,612",0.4,"154,431",0.1,"157,612,0.4,154,431,0.1"
Stage 2,Not collateralised,"118,959",1.6,"37,430",2.6,"19,466",0.4,"37,430,2.6,19,466,0.4"
Stage 2,Fully collateralised,"37,753",1.3,"9,316",2.1,"15,044",0.8,"9,316,2.1,15,044,0.8"
Stage 2,LTV ratio:,,,,,,,","
Stage 2,LTV ratio:,less than 50%,"11,992",1.3,"2,498",1.5,"3,920","0.7,2,498,1.5,3,920,0.7"
Stage 2,LTV ratio:,51% to 75%,"16,982",1.6,"5,715",2.2,"6,657","1.0,5,715,2.2,6,657,1.0"
Stage 2,LTV ratio:,76% to 90%,"3,727",1.2,502,3.2,"2,150","0.7,502,3.2,2,150,0.7"
Stage 2,LTV ratio:,91% to 100%,"5,052",0.9,601,2.0,"2,317","0.3,601,2.0,2,317,0.3"
Stage 2,Partially collateralised (B):,"16,829",1.5,"3,984",2.7,"3,849",0.9,"3,984,2.7,3,849,0.9"
Stage 2,Partially collateralised (B):,collateral value on B,"9,425","1,714","2,104","3,849",0.9,"1,714,2,104,3,849,0.9"
Stage 2,Total,"173,541",1.5,"50,730",2.5,"38,359",0.6,"50,730,2.5,38,359,0.6"
Stage 3,Not collateralised,"7,852",50.0,"2,793",28.5,865,66.0,"2,793,28.5,865,66.0"
Stage 3,Fully collateralised,"1,939",17.3,585,7.9,342,6.4,"585,7.9,342,6.4"
Stage 3,LTV ratio:,,,,,,,","
Stage 3,LTV ratio:,less than 50%,637,24.0,151,8.6,83,"6.0,151,8.6,83,6.0"
Stage 3,LTV ratio:,51% to 75%,526,19.0,182,12.6,128,"4.7,182,12.6,128,4.7"
Stage 3,LTV ratio:,76% to 90%,294,9.2,211,1.9,49,"14.3,211,1.9,49,14.3"
Stage 3,LTV ratio:,91% to 100%,482,11.6,41,14.6,82,"4.9,41,14.6,82,4.9"
Stage 3,Partially collateralised (C):,"2,847",35.5,553,23.1,592,26.4,"553,23.1,592,26.4"
Stage 3,Partially collateralised (C):,collateral value on C,"1,619",337,322,"1,619",337,"322,337,322,1,619,337,322"
Stage 3,Total,"12,638",41.7,"3,931",24.7,"1,799",41.6,"3,931,24.7,1,799,41.6"
POCI,Not collateralised,211,39.8,54,63.0,1,—,"54,63.0,1,—"
POCI,Fully collateralised,63,41.3,—,—,45,51.1,"45,51.1,—,—"
POCI,LTV ratio:,,,,,,,","
POCI,LTV ratio:,less than 50%,6,50.0,—,—,—,"—,—,—,—,—"
POCI,LTV ratio:,51% to 75%,11,9.1,—,—,11,"9.1,—,—,11,9.1"
POCI,LTV ratio:,76% to 90%,34,64.7,—,—,34,"64.7,—,—,34,64.7"
POCI,LTV ratio:,91% to 100%,12,—,—,—,—,"—,—,—,—,—"
POCI,Partially collateralised (D):,4,75.0,—,—,—,—,"—,—,—,—,—"
POCI,Partially collateralised (D):,collateral value on D,4,—,—,—,—,"—,—,—,—,—"
POCI,Total,278,40.6,54,63.0,46,50.0,"54,63.0,46,50.0"
At 31 Dec 2020,"967,469",1.0,"212,327",1.3,"194,635",0.6,"212,327","1.3,194,635,0.6"
