(Audited) (f000),,Fees1,Fees1,Benefits2,Benefits2,Total,Total
(Audited) (f000),,Footnotes,2020,2020,2019,2020,2019
Kathleen Casey (retired on 24 April 2020),3.4,78,2019 223,27,9,105,232
Laura Cha,5,587,298,二,二,587,298
Henri de Castries,,202,194,1,4,203,198
James Forese,6,160,二,1,1,160,二
Steven Guggenheimer,7,134,1,一,一,134,二
Irene Lee,8,546,454,二,3,546,457
JoséAntonio Meade Kuribrena,,202,157,4,2,206,159
Heidi Miller,9,632,625,7,2,639,627
Eileen Murray,10,120,二,1,二,120,二
David Nish,11,480,230,8,16,488,246
Sir Jonathan Symonds (retired on 18 February 2020),,86,638,20,21,106,659
Jackson Tai,12,355,398,12,57,367,455
Mark Tucker,13,"1,500","1,500",52,231,"1,552","1,731"
Pauline van der Meer Mohr,14,312,265,2,8,314,273
Total (£OOO),,"5,394","4,982",133,353,"5,527",
Total ($000),,"6,919","6,390",171,453,"7,090","5,335 6,843"
