Favourable change,Increase in VIU,VIU,Unfavourable change,Decrease in VIU,VIU
At 31 Dec 2020,,-,21.8,(50),"(1.3),20.5"
At 31 Dec 2020,,-,23.2,,"-,21.8"
At 31 Dec 2020,,-,23.0,53,"(1.2),20.6"
At 31 Dec 2020,2020 to 2024: 96,2.3,24.1,2025 onwards: 76,",-,19.7"
At 31 Dec 2020,Expected credit losses as a percentage of customer advances,,-,2020 to 2024: 122,"2025 onwards: 95,,-"
At 31 Dec 2020,Risk-weighted assets as a percentage of total assets,(40),21.9,166,"(0.8),21.0"
At 31 Dec 2020,Operating income growth rate,2,0.2,22.0,"(69),(1.5),20.3"
At 31 Dec 2020,Cost-income ratio,(149),1.3,23.1,"120,(1.2),20.6"
At 31 Dec 2020,Long-term effective tax rate,(316),0.9,22.7,"820,(2.2),19.6"
At 31 Dec 2020,Capital requirements – capital adequacy ratio,,-,21.8,"297,(7.8),14.0"
At 31 Dec 2020,Capital requirements – tier 1 capital adequacy ratio,,-,21.8,"263,(5.3),16.5"
At 31 Dec 2019,Long-term profit growth rate,,-,21.5,"(50),(1.3),20.2"
At 31 Dec 2019,Long-term asset growth rate,(50),1.4,22.9,",-,21.5"
At 31 Dec 2019,Discount rate,(54),1.4,22.9,"56,(1.2),20.3"
At 31 Dec 2019,Expected credit losses as a percentage of customer advances,2019 to 2023: 90,1.0,22.5,"2024 onwards: 70,,-,20.3"
At 31 Dec 2019,Risk-weighted assets as a percentage of total assets,(96),0.4,21.9,"12,,-,21.5"
At 31 Dec 2019,Operating income growth rate,14,,-,"2019 to 2023: 108,2024 onwards: 81,,-"
At 31 Dec 2019,Cost-income ratio,(175),1.0,22.5,"95,(1.2),20.3"
At 31 Dec 2019,Long-term effective tax rate,(352),1.0,22.5,"250,(0.7),20.8"
At 31 Dec 2019,Capital requirements – capital adequacy ratio,,-,21.5,"337,(8.2),13.3"
At 31 Dec 2019,Capital requirements – tier 1 capital adequacy ratio,,-,21.5,"322,(6.0),15.5"
