Year ended 31 Dec 2019,Profit before tax,Tax expense,Profit after tax
6,819,-720,"6,099"
"4,159","earendedSTDeczots 4,159","-1,502","2,657"
942,942,-460,482
"1,427","1,427","-1,957",-530
"13,347","13,347","-4,639","8,708"
"Less attributable to: preference shareholders, other equity holders, non-controlling interests",,-,-
Profit attributable to ordinary shareholders of the parent company,"4,820","-1,811","5,969"
Increase in PVIF (net of tax),"-1,207",-40,"1,248"
Significant items (net of tax) and UK bank levy,,"3,036","9,597"
Markets Treasury allocation and other adjustments,1,-,3
"Profit attributable to ordinary shareholders, excluding PVIF, significant items and bank levy","5,255","4,807","14,321"
"Average tangible shareholders' equity excluding fair value of own debt, DVA and other adjustments",26,"39,999","143,879"
Return on average tangible equity excluding significant items and UK bank levy (%),19.7,0.8,10.0
