,,,,,,,,Of which:,Of which:
,Europe,Asia,MENA,North America,Latin America,,Total,UK,Hong Kong
Gross loans and advances,$m,$m,$m,,$m,$m,$m,$m,$m
Stage 1,"22,639","63,276","1,147","7,373","1,269",,"95,704","16,207","48,735"
Stage 2,"5,549","11,686",436,"4,093",,381,"22,145","4,299","9,105"
Stage3,"1,114",37,250,42,,240,"1,683",966,18
POCI,1,1,1,,1,1,1,1,1
At31 Dec 2020,"29,303","74,999","1,833","11,508","1,890",,"119,533","21,472","57,858"
- of which: renegotiated loans,751,3,201,,二,二 (120),955,744,二
Allowance for ECL,(650),(117),(190),(64),,,"(1,141)",(575),(65)
