2020$m,2019$m,
Financial investments measured at fair value through other comprehensive income,"402,054","357,577"
-treasury and other eligible bills,"118,163","95,043260,5361.91385"
-debt securities,"281,4672,33787","95,043260,5361.91385"
-equity securities,"281,4672,33787","95,043260,5361.91385"
-other instruments,"281,4672,33787","95,043260,5361.91385"
Debt instruments measured at amortised cost,"88,639","85,735"
：treasury and other eligible bills,"11,757","10,47675,259"
- debt securities,"76,882","10,47675,259"
At 31Dec,"490,693","443,312"
