Profit/(loss) before tax by country/territory within global businesses (continued),Profit/(loss) before tax by country/territory within global businesses (continued),Profit/(loss) before tax by country/territory within global businesses (continued),Profit/(loss) before tax by country/territory within global businesses (continued),Profit/(loss) before tax by country/territory within global businesses (continued),Profit/(loss) before tax by country/territory within global businesses (continued)
,Wealth and Personal,Commercial,Global Banking,Corporate,
Footnotes,Banking3,Banking3 $m,and Markets $m,Centre3,Total
Europe,$m,"(1,324)",(997),"$m (1,491)","$m (4,653)"
- UK 1,"(841) (1,053)",904,"(1,217)","(1,979)","(3,345)"
-of which:HSBC UK Bank plc (RFB),(331),"1,555",70,13,"1,307"
-of which:HSBC Bank plc (NRFB),245,278,(186),(467),(130)
- of which:Holdings and other,（967),(929),"(1,101)","(1,525)","(4,522)"
-France,55,120,(65),（74）,36
Germany,18,46,95,2,161
-Switzerland,93,7,(3,(6),91
-other,46,"(2,401)",193,566,"(1,596)"
2 Asia,"7,715","4,519","4,083","2,151","18,468"
-Hong Kong,"7,220","3,242","1,729",(142),"12,049"
-Australia,130,127,199,(12),444
- India,67,201,533,205,"1,006"
- Indonesia,20,55,127,14,216
mainland China,(73),317,512,"2,121","2,877"
-Malaysia,102,73,189,(22),342
Singapore,154,105,250,(31),478
-Taiwan,43,25,97,(4),161
-other,52,374,447,22,895
Middle East and North Africa,254,212,761,"1,100","2,327"
-Egypt,73,81,245,11,410
-UAE,139,94,246,(54),425
Saudi Arabia,(3),1,13,"1,145","1,155"
-other 2,45,37,257,(2),337
North America,(573),855,729,(244),767
-Us,(277),386,547,(221),435
-Canada,70,427,143,(22),618
-other 2,(366),42,39,1),(286)
Latin America,264,(103),328,（89),400
-Mexico,311,176,229,(29）,687
-other 2,(47),(279),99,(60),(287)
GBM goodwill impairment 2,二,二,"(3,962)",,"(3,962)"
Year ended 31Dec 2019,"6,819","4,159",942,"1,427","二 13,347"
