Non-credit impaired,Stage 1,Stage 2,Stage 3,Total,Gross carrying/nominal amount,Allowance for ECL
At 1 Jan 2019,"$m 580,784","$m 16,838","$m 4,993","$m 602,615","580,784","(547), (1,266), (1,148), (2,961)"
Transfers of financial instruments,"-4,751","2,645","2,106",-,"-4,751","858, -484, -"
Net remeasurement of ECL arising from transfer of stage,-,446,-,-,-,"(408), (76), 38"
Net new and further lending/repayments,"50,946",3,-758,"47,840","50,946","453, -281, 737"
Change in risk parameters – credit quality,-,-100,-,-,-,"(1,015), (1,190), -2,305"
Changes to models used for ECL calculation,-,-6,-,-,-,68
Assets written off,-,-,"-1,345","1,345",-,"-1,345, 1,345, 1,345"
Foreign exchange and other,"8,982",247,50,"9,279","8,982","(19), (20), 43, 4"
At 31 Dec 2019,"635,961","17,382","5,046","658,389","635,961","(597), (1,338) （910), (1,215), -3,150"
ECL income statement change for the period,343,-,-971,"-1,220",343,"(910), 971, -1,538"
Recoveries,314,,,,314,
Other,4,,,,4,-
