Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,,,,,,,
Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Of which:Total UK Hong Kong Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coverage nominal amount coverage$m % $m % $m %
Stage 1,,,,,,,,,,,,,,
Fully collateralised,"354,102","1 159,562 1 90,733 1","1 159,562 1 90,733 1","1 159,562 1 90,733 1","1 159,562 1 90,733 1","1 159,562 1 90,733 1","1 159,562 1 90,733 1",,,,,,,
LTV ratio:,"174,370",,,,,,,,,,,,,
- less than 50%,"174,370",1,"76,535",1,"54,866","54,866",一,,,,,,,
51% to 60%,"60,180",1,"23,967",1,"14,253","14,253",,,,,,,,
61% to 70%,"48,159",一,"23,381",1,"6,042","6,042",1,,,,,,,
71% to 80%,"40,395",0.1,"20,846",1,"4,288","4,288",1,,,,,,,
- 81% to 90%,"23,339",0.1,"12,936",1,"6,837","6,837",1,,,,,,,
- 91% to 100%,"7,659",0.1,"1,897",0.1,"4,447","4,447",一,,,,,,,
Partially collateralised (A):,973,0.4,289,二,336,336,一,,,,,,,
LTV ratio:,592,,,,334,334,,,,,,,,
-101% to 110%,592,0.4,84,1,334,334,一,,,,,,,
- 111% to 120%,101,0.5,45,1,12,12,一,,,,,,,
-greater than 120%,280,0.3,160,1,12,12,,,,,,,,
- collateral value on A,847,212 328,212 328,212 328,212 328,212 328,,,,,,,,
Total,"355,075","二 159,851 1 91,069","二 159,851 1 91,069","二 159,851 1 91,069","二 159,851 1 91,069","二 159,851 1 91,069",,,,,,,,
Stage 2,,,,,,,,,,,,,,
Fully collateralised,"12,252",1.5,"4,229",1.4,"1,802","1,802",一,,,,,,,
LTVratio:,,,,,,,,,,,,,,
- less than 50%,"6,6942,223",1.1,"2,442",1.2,"1,256","1,256",一,,,,,,,
51% to 60%,"6,6942,223",1.1,730,1.3,253,253,一,,,,,,,
- 61% to 70%,"1,779",1.6,606,1.3,83,83,,,,,,,,
- 71% to 80%,987,2.8,244,2.9,111,111,1,,,,,,,
- 81% to 90%,400,4.9,139,3.6,60,60,,,,,,,,
- 91% to 100%,169,5.7,68,3.3,39,39,一,,,,,,,
Partially collateralised (B):,53,13.6,4,3.3,9,9,一,,,,,,,
LTV ratio:,,,,,9,9,,,,,,,,
- 101% to 110%,28,11.9,3,1.5,9,9,,,,,,,,
111% to 120%,916,16.8,1,1,1,1,一,,,,,,,
- greater than 120%,916,14.8,1,8.5,1,1,一,,,,,,,
- collateral value on B,47,,4 9,4 9,4 9,4 9,,,,,,,,
Total,"12,305","1.5 4,233 1.4 1,811","1.5 4,233 1.4 1,811","1.5 4,233 1.4 1,811","1.5 4,233 1.4 1,811","1.5 4,233 1.4 1,811",一,,,,,,,
Stage3,,,,,,,,,,,,,,
Fully collateralised,"3,083",9.8,"1,050",12.3,63,63,一,,,,,,,
LTVratio:,,,,,,,,,,,,,,
：less than 50%,"1,472",8.0,676,10.9,53,53,,,,,,,,
- 51% to 60%,505,8.7,144,15.1,6,6,一,,,,,,,
- 61% to 70%,435,9.2,112,12.9,,,,,,,,,,
71% to 80%,378,11.5,81,13.7,2,2,一,,,,,,,
181% to 90%,19598,17.3,289,22.4,2,2,,,,,,,,
91% to 100%,19598,24.3,289,17.8,2,2,,,,,,,,
Partially collateralised (C):,328,42.7,17,22.9,,,,,,,,,,
LTV ratio:,,,,,,,,,,,,,,
101% to 110%,75,30.4,9,16.7,,,,,,,,,,
1111% to 120%,56,38.8,5,17.6,,,,,,,,,,
- greater than 120%,197,48.5,3,50.3,,,一,,,,,,,
- collateral value on C,228,10 1,10 1,10 1,10 1,10 1,,,,,,,,
Total,"3,411 13.0 1,067 12.5 63","3,411 13.0 1,067 12.5 63","3,411 13.0 1,067 12.5 63","3,411 13.0 1,067 12.5 63","3,411 13.0 1,067 12.5 63","3,411 13.0 1,067 12.5 63","3,411 13.0 1,067 12.5 63",,,,,,,
At 31Dec 2020,"370,791 0.2 165,151 0.1 92,943","370,791 0.2 165,151 0.1 92,943","370,791 0.2 165,151 0.1 92,943","370,791 0.2 165,151 0.1 92,943","370,791 0.2 165,151 0.1 92,943","370,791 0.2 165,151 0.1 92,943","370,791 0.2 165,151 0.1 92,943",,,,,,,
,Total,ECL,UK Gross carrying/,ECL,Hong Kong,ECL,ECL,ECL,ECL,ECL,ECL,ECL,ECL,ECL
,Gross carrying/ nominal amount,coverage,nominal amount,coverage,Gross carrying/ nominal amount,coverage,coverage,coverage,coverage,coverage,coverage,coverage,coverage,coverage
,$m,%,$m,%,$m,%,%,%,%,%,%,%,%,%
Stage 1 Fully collateralised,,,"143,772",,"86,049",,,,,,,,,
LTVratio:,"326,510",,,,,,,,,,,,,
- less than 50%,"168,923",,"70,315",一,"57,043",1,1,1,1,1,1,1,1,1
- 51% to 60%,"55,287",一,"21,898",一,,,,,,,,,,
,"44,208",,"19,903",,"13,169",1,1,1,1,1,1,1,1,1
-61% to 70%,"33,049",1,"17,649",1,"6,478",1,1,1,1,1,1,1,1,1
71% to 80%,,1,"11,127",1,"3,195",1,1,1,1,1,1,1,1,1
- 81% to 90% - 91% to 100%,"18,157",1,"2,880",1,"3,685",1,1,1,1,1,1,1,1,1
,"6,886",1,326,一,"2,479",,,,,,,,,
Partially collateralised (A):,"1,384",0.1,,,284,,,,,,,,,
LTV ratio:,,,,,,,,,,,,,,
- 101% to 110%,843,0.1,89,一,281,一,一,一,一,一,一,一,一,一
- 111% to 120%,195,0.2,48,,1,,,,,,,,,
- greater than 120%,346,0.1,189,一,2,,,,,,,,,
-collateral value on A Total,"1,232 327,894",,"232 144,098",,"279 86,333",,,,,,,,,
Stage 2,,,,,,,,,,,,,,
Fully collateralised,"7,087",0.9,"1,941",1.0,"1,116",,,,,,,,,
LTV ratio:,"3,781",,"1,146",,,,,,,,,,,
- less than 50%,923,0.5,233,0.7 1.5,892,,,,,,,,,
-51% to 60%,909,1.1,262,1.2,95,,,,,,,,,
-61% to 70%,894,1.2,231,1.0,59,,,,,,,,,
-71% to 80%,,1.1,36,,32,,,,,,,,,
- 81% to 90%,425,1.6,33,2.9,25,,,,,,,,,
-91% to 100% Partially collateralised (B):,155,4.4,,1.8,13,一,一,一,一,一,一,一,一,一
LTVratio:,76,7.2,23,1.8,1,,,,,,,,,
