,,,,,,1
- balances with HSBC undertakings,"2,382","2,382",1,1,1,"2,002"
Derivatives Loans and advances to HSBC undertakings,"2,002","二 19,976","二 21,084","二 24,739","二 2,000","4,383"
Financial investments in HSBC undertakings,"72,182","13,054","3,006",,1,46
Investments in subsidiaries,"16,106 163,948","5,035","5,118","3,924",,"149,871"
Otherassets,,102,,,1,
Total assets,"1,095",,,,,993
Amounts owed to HSBC undertakings,"257,715","40,549","29,208","28,663","2,000","157,295"
Financial liabilities designated at fair values,"(464) (30,303)",(464),"1 (14,628)",1,二,1
Derivatives,,二,,"(14,698)",(750),(227)
Debt securities in issue,"(2,021) (56,844)",一,"(22,336)",,1,"(2,021)"
Other liabilities,,"(15,446)",,"(15,154)","(2,000)","(1,908)"
Subordinated liabilities,"(2,203) (18,361)",二,1,1,二,"(2,203)"
Total equity,"(147,519)","二 (2,950)","(2,000) (10,707)","(2,543) (9,975)","(11,284)","(2,534)"
Total liabilitiesand equity,"(257,715)","(18,860)","(49,671)","(42,370)","二 (14,034)","(123,887)"
Off-balance sheet items attracting interest rate sensitivity,,"(30,363)","16,789","6,796","6,469","(132,780)"
Net interest rate risk gapat 31 Dec 2019 1,,"(8,674)","(3,674)","(6,911)","(5,565)",309
Cumulative interest rate gap,,"(8,674)","(12,348)","(19,259)","(24,824)","24,824 一"
