,Non-linked,Investment Linked life contracts with,Investment Linked life contracts with,Investment Linked life contracts with,Total
,Non-linked,insurance $m,insurance $m,DPF1 $m,Total
Gross liabilities under insurance contracts at 1 Jan 2020,Footnotes,"65,324","6,151","25,964","$m 97,439"
Claims and benefits paid,,"(3,695)",(900),"(2,083)","(6,678)"
Increase in liabilities to policyholders,,"10,050","1,112","1,853","13,015"
Exchange differences and other movements,2,785,86,"2,544","3,415"
Gross liabilities under insurance contracts at 31 Dec 2020,,"72,464","6,449","28,278","107,191"
Reinsurers'share of liabilities under insurance contracts,,"(3,434)",(14),二,"(3,448)"
Net liabilities under insurance contracts at 31 Dec 2020,,"69,030","6,435","28,278","103,743"
Gross liabilities under insurance contracts at 1 Jan 2019,,"57,283","5,789","24,258","87,330"
Claims and benefits paid,,"(3,804)",（900),"(1,900)","(6,604)"
Increase in liabilities to policyholders,,"11,326","1,217","3,789","16,332"
Exchange differences and other movements,2,519,45,(183),381
Gross liabilities under insurance contracts at 31 Dec 2019,,"65,324","6,151","25,964","97,439"
Reinsurers'share of liabilities under insurance contracts,,"(3,521)",（71),-,"(3,592)"
Net liabilities under insurance contracts at 31 Dec 2019,,"61,803","6,080","25,964",93.847
