Footnotes,Wealth and Personal Banking^2,Commercial Banking^2,Global Banking and Markets^2,Corporate Centre^2,Total
Europe,134,1798,147,-2894,-815
UK,256,1393,-175,-2870,-1396
of which: HSBC UK Bank plc (RFB),602,967,4,-191,1382
of which: HSBC Bank plc (NRFB),618,1408,839,-787,2078
of which: Holdings and other,-964,-982,-1018,-1892,-4856
France,-42,163,7,-91,37
Germany,26,92,116,-33,201
Switzerland,-76,5,-2,-4,-77
other,-30,145,201,104,420
Asia,7025,4475,4097,2193,17790
Hong Kong,6673,3291,1768,-218,11514
Australia,120,137,212,-6,463
India,36,157,433,199,825
Indonesia,7,21,97,-21,104
mainland China,-195,282,592,2179,2858
Malaysia,145,89,137,3,374
Singapore,125,127,266,-27,491
Taiwan,60,29,138,-2,225
other,54,342,454,86,936
Middle East and North Africa,251,142,769,395,1557
Egypt,51,63,215,4,333
UAE,142,65,307,-41,473
Saudi Arabia,-,,-,436,436
other,58,14,247,-4,315
North America,37,1036,901,-1175,799
US,-106,498,734,-1173,-47
Canada,99,489,187,-10,765
other,44,49,-20,8,81
Latin America,133,138,354,-66,559
Mexico,214,119,204,-9,528
other,-81,19,150,-57,31
Year ended 31 Dec 2018,7580,7589,6268,-1547,19890
