Financial investments,Trading assets,Designated and otherwise mandatorily measured at fair value through profit or loss,Derivatives,"Total, m","Trading liabilities, m","Designated at fair value, m",Derivatives,Total
"investments, Private equity including strategic",930,4,10971,11905,,4,4,4
Asset-backed securities,1286,523,25,1834,29,5301,5,5306
Loans held for securitisation,-,-,-,-,-,-,-,
Structured notes,-,-,-,-,29,5016,5016,
Derivatives with monolines,-,68,68,68,66,2302,2302,
Other derivatives,-,2602,2602,2602,2070,2070,2302,
Other portfolios,1438,1972,481,3891,129,5,135,135
At 31 Dec 2020,3654,2499,11477,20300,162,5306,4188,9656
"investments, Private equity including strategic",716,4,8831,9551,,4,4,4
Asset-backed securities,874,934,28,1836,47,5016,5016,
Loans held for securitisation,-,-,39,40,-,-,-,
Structured notes,-,3,5063,47,5016,5016,,
Derivatives with monolines,-,66,66,66,66,2302,2302,
Other derivatives,-,2070,2070,2070,2070,2302,2302,
Other portfolios,1628,4037,578,6243,2,2,2,2
At 31 Dec 2019,3218,4979,9476,19809,53,5016,2302,7371
