,Jan,Feb,Apr,Jun,,,,,
,,,,,,Jul,Sep,Oct,Dec
Reporting Financial reporting matters including:,,,,,,,,,
"- Review of financial statements,ensuring that disclosures are fair, balanced and understandable",,,,,,,,,
Significant accounting judgements - Going concern assumptions and viability statement,,,,,,,,：,：
- Supplementary regulatory information and the ESG Update Regulatory reporting-related matters,.,,,,,。,：,0,：
Certificates from principal subsidiary audit committees,。,,? 0,,,：,0,0,0
Control environment,,,,0,,,,,
Review of deficiencies and effectiveness of internal financial controls,：,：,：,：,,,,：,：
Internal audit,,,,,,,·,,
Reports from Global Internal Audit,?,.,?,：,,,0,：,：
"Annual audit plan,independenceand effectiveness",,0,,0,,,,,：
External audit,,,,,,：,0,0,
"Reports from external audit,including external audit plan",,,,,,：,。,?,：
"Appointment,remuneration,non-audit servicesand efectiveness",.,,,,,。,0,.,0
Compliance,,,,,,,,,
Accounting standards and critical accounting policies,：,.,0,0,,0,。,0,·
Corporate governance codes and listing rules,0,：,。,0,,,。,0,0
Whistleblowing,,,,,,,,,
Whistleblowingarrangements and effectiveness,0,：,：,0,,：,。,。,：
