,Of which:Total UK Hong Kong,Of which:Total UK Hong Kong,Of which:Total UK Hong Kong,Of which:Total UK Hong Kong,Of which:Total UK Hong Kong,Of which:Total UK Hong Kong,Of which:Total UK Hong Kong,Of which:Total UK Hong Kong,Of which:Total UK Hong Kong,,,
,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,Gross carrying/ ECL Gross carrying/ ECL Gross carrying/ ECL nominal amount coveragenominal amount coveragenominal amount coverage $m % $m % $m %,,,
Stage 1,,,,,,,,,,,,
Not collateralised,"617,592 0.2 122,554 0.4 95,061 0.1","617,592 0.2 122,554 0.4 95,061 0.1","617,592 0.2 122,554 0.4 95,061 0.1","617,592 0.2 122,554 0.4 95,061 0.1","617,592 0.2 122,554 0.4 95,061 0.1","617,592 0.2 122,554 0.4 95,061 0.1","617,592 0.2 122,554 0.4 95,061 0.1","617,592 0.2 122,554 0.4 95,061 0.1","617,592 0.2 122,554 0.4 95,061 0.1",,,
Fully collateralised,"110,528 0.2","110,528 0.2","28,232 0.3 40,207","28,232 0.3 40,207","28,232 0.3 40,207","28,232 0.3 40,207","28,232 0.3 40,207","28,232 0.3 40,207",0.1,,,
LTV ratio:,,,,,,,,,,,,
- less than 50%,"37,991",0.1,"7,367",0.3,"14,744","14,744","14,744","14,744",0.1,,,
-51% to 75%,"36,696",0.2,"11,891",0.3,"13,961","13,961","13,961","13,961",0.2,,,
- 76% to 90%,"13,542",0.2,"2,624",0.4,"6,522","6,522","6,522","6,522",0.1,,,
-91% to 100%,"22,299",0.1,"6,350",0.1,"4,980","4,980","4,980","4,980",0.1,,,
Partially collateralised (A):,"52,892",0.2,"6,826",0.5,"19,163","19,163","19,163","19,163",0.1,,,
- collateral value on A,"25,903",,"3,524",,"9,208","9,208","9,208","9,208",,,,
Total,"781,012",0.2,"157,612",0.4,"154,431","154,431","154,431","154,431",0.1,,,
Stage2,,,,,,,,,,,,
Not collateralised,"118,959",1.6,"37,430",2.6,"19,466","19,466","19,466","19,466",0.4,,,
Fully collateralised,"37,753",1.3,"9,316",2.1,"15,044","15,044","15,044","15,044",0.8,,,
LTV ratio:,,,,,,,,,,,,
-less than 50%,"11,992",1.3,"2,498",1.5,"3,920","3,920","3,920","3,920",0.7,,,
51% to 75%,"16,982",1.6,"5,715",2.2,"6,657","6,657","6,657","6,657",1.0,,,
- 76% to 90%,"3,727",1.2,502,3.2,"2,150","2,150","2,150","2,150",0.7,,,
-91% to 100%,"5,052",0.9,601,2.0,"2,317","2,317","2,317","2,317",0.3,,,
Partially collateralised (B):,"16,829",1.5,"3,984",2.7,"3,849","3,849","3,849","3,849",0.9,,,
- collateral value on B,"9,425",,"1,714",,"2,104","2,104","2,104","2,104",,,,
Total,"173,541",1.5,"50,730",2.5,"38,359","38,359","38,359","38,359",0.6,,,
Stage3,,,,,,,,,,,,
Not collateralised,"7,852",50.0,"2,793",28.5,865,865,865,865,66.0,,,
Fully collateralised,"1,939",17.3,585,7.9,342,342,342,342,6.4,,,
LTV ratio:,,,,,,,,,,,,
：less than 50%,637,24.0,151,8.6,83,83,83,83,6.0,,,
- 51% to 75%,526,19.0,182,12.6,128,128,128,128,4.7,,,
76% to 90%,294,9.2,211,1.9,49,49,49,49,14.3,,,
-91% to100%,482,11.6,41,14.6,82,82,82,82,4.9,,,
Partiallycollateralised (C):,"2,847",35.5,553,23.1,592,592,592,592,26.4,,,
- collateral value on C,"1,619",,337,,322,322,322,322,,,,
Total,"12,638",41.7,"3,931",24.7,"1,799","1,799","1,799","1,799",41.6,,,
POCI,,,,,,,,,,,,
Not collateralised,211,39.8,54,63.0,1,1,1,1,二,,,
Fully collateralised,63,41.3,二,二,45,45,45,45,51.1,,,
LTV ratio:,,,,,1,1,1,1,,,,
- less than 50%,6,50.0,,,1,1,1,1,,,,二
-51% to 75%,11,9.1,,1,,,,1134,9.1,,,
-76% to 90%,34,64.7,,1,,,,1134,64.7,,,
-91% to 100%,12,二,,1,二,二,二,二,二,,,
Partially collateralised (D):,4 75.0 一 一 二 二,4 75.0 一 一 二 二,4 75.0 一 一 二 二,4 75.0 一 一 二 二,4 75.0 一 一 二 二,4 75.0 一 一 二 二,4 75.0 一 一 二 二,4 75.0 一 一 二 二,4 75.0 一 一 二 二,,,
- collateral value on D,4 1 二,4 1 二,4 1 二,4 1 二,4 1 二,4 1 二,4 1 二,4 1 二,4 1 二,,,
Total,278 40.6 54 63.0 46,278 40.6 54 63.0 46,278 40.6 54 63.0 46,278 40.6 54 63.0 46,278 40.6 54 63.0 46,278 40.6 54 63.0 46,278 40.6 54 63.0 46,278 40.6 54 63.0 46,50.0,,,
At31Dec 2020,"967,469 1.0 212,327 1.3 194,635","967,469 1.0 212,327 1.3 194,635","967,469 1.0 212,327 1.3 194,635","967,469 1.0 212,327 1.3 194,635","967,469 1.0 212,327 1.3 194,635","967,469 1.0 212,327 1.3 194,635","967,469 1.0 212,327 1.3 194,635","967,469 1.0 212,327 1.3 194,635",0.6,,,
,Total,Total,Total,Total,Total,Total,Total,Total,Of which:,Of which:,Of which:,Of which:
,Gross carrying/,ECL,UK Gross carrying/,ECL,HongKong Gross carrying/,ECL,ECL,ECL,ECL,ECL,ECL,ECL
,nominal amount $m,coverage %,nominal amount $m,coverage %,nominal amount $m,coverage %,coverage %,coverage %,coverage %,coverage %,coverage %,coverage %
Stage1,Stage1,Stage1,Stage1,Stage1,Stage1,Stage1,Stage1,Stage1,Stage1,Stage1,Stage1,Stage1
Not collateralised,"680,079",0.1,"132,197",0.2,"116,536",二,二,二,二,二,二,二
Fully collateralised,"128,290",0.1,"40,172",0.1,"32,818",0.1,0.1,0.1,0.1,0.1,0.1,0.1
LTV ratio:,,,,,,,,,,,,
-less than 50%,48.012,0.1,"13,831",0.1,"11,009",0.1,0.1,0.1,0.1,0.1,0.1,0.1
-51% to 75%,"37,891",0.1,"11,903",0.2,"12,783",0.1,0.1,0.1,0.1,0.1,0.1,0.1
76% to 90%,"13,072",0.1,"3,399",0.2,"4,697",0.1,0.1,0.1,0.1,0.1,0.1,0.1
-91% to 100%,"29,315",二,"11,039",二,"4,329",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Partially collateralised (A):,"52,890",0.1,"8,122",0.1,"20,162",,,,,,,
- collateral value on A,"25,824",,"3,809",,"9,616",0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total,"861,259",0.1,"180,491",0.2,"169,516",二,二,二,二,二,二,二
Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2,Stage 2
Not collateralised,"61,540",1.2,"13,318",2.2,,,,,,,,
Fully collateralised,"21,126",0.8,"3,139",1.8,"13,308",0.7,0.7,0.7,0.7,0.7,0.7,0.7
LTV ratio:,,,,,"12,934",0.6,0.6,0.6,0.6,0.6,0.6,0.6
- less than 50%,"7,081",0.9,"1,208",2.0,3.845,,,,,,,
-51% to 75%,"8,482",0.9,"1,111",1.8,"5,580",0.6,0.6,0.6,0.6,0.6,0.6,0.6
-76% to 90%,"2,684",0.9,282,2.1,"1,646",0.7,0.7,0.7,0.7,0.7,0.7,0.7
-91% to 100%,"2,879",0.6,538,1.3,"1,863",0.5,0.5,0.5,0.5,0.5,0.5,0.5
Partially collateralised (B):,"8,463",0.8,"1,516",1.4,"3,768",0.2,0.2,0.2,0.2,0.2,0.2,0.2
-collateral valueonB,"3,669",,370,,"1,801",0.4,0.4,0.4,0.4,0.4,0.4,0.4
"Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129","Total 91,129"
Stage3,,,"17,973",2.1,"30,010",0.6,0.6,0.6,0.6,0.6,0.6,0.6
Not collateralised,"4,768",49.2,"1,899",33.0,504,,,,,,,
Fully collateralised,"1,479",22.4,494,12.6,86,83.5,83.5,83.5,83.5,83.5,83.5,83.5
LTV ratio:,,,,,,12.8,12.8,12.8,12.8,12.8,12.8,12.8
- less than 50%,335,35.2,103,17.5,9,33.3,33.3,33.3,33.3,33.3,33.3,33.3
51% to 75%,352,24.4,,198 8.6,21,4.8,4.8,4.8,4.8,4.8,4.8,4.8
76% to 90%,373,23.6,101,20.8,40,7.5,7.5,7.5,7.5,7.5,7.5,7.5
-91% to 100%,419,9.1,92,7.6,16,,,,,,,
Partially collateralised (C):,"1,367",44.8,369,20.1,87,25.0,25.0,25.0,25.0,25.0,25.0,25.0
-collateral valueon C,693,,192,,34,48.3,48.3,48.3,48.3,48.3,48.3,48.3
Total,"7,614",43.2,"2,762",27.6,677,70.0,70.0,70.0,70.0,70.0,70.0,70.0
POCI,POCI,POCI,POCI,POCI,POCI,POCI,POCI,POCI,POCI,POCI,POCI,POCI
Not collateralised,223,32.7,32,96.9,7,1,1,1,1,1,1,1
Fully collateralised,28,3.6,,二 二,,10,10,10,10,10,10,10
LTVratio:,,,,,,,,,,,,
- less than 50%,2,50.0,,,一,1,1,1,1,1,1,1
-51% to 75%,26,二,,,1,10 1,10 1,10 1,10 1,10 1,10 1,10 1
-76% to 90%,1,二,,二,,1 二,1 二,1 二,1 二,1 二,1 二,1 二
-91% to 100%,二,二,,1,二,二,二,二,二,二,二,二
