TCFD recommendation,Our progress in 2020
Governance,
Describe the Board's oversight of climate-related risks and,- The Board is responsible for our climate ambition and strategy and receives climate-focused updates twice a year.
opportunities Describe management's role in assessing and managing climate-,"-The Group Risk Committee provides oversight of climate risks and opportunities through enterprise risk reports, deep dives and updates. -The Group Executive Committee manages our climate ambition with management responsibilities"
related risks and opportunities,"integrated into the relevant business and functional areas. Forfurther details of our governance approach,see page 5of our TCFD Update 2020."
Strategy Describe the climate-related risks and opportunities the organisation has,"-We have identified our key climate risks over the short,medium and long term and identified the principal risk types as retail credit risk,wholesale credit risk,resilience risk,reputational risk and"
"identified over the short, medium and long term Describe the impact of climate","regulatory compliance risk1. For furtherdetails ofourclimate risks and risk types,seepages 3and 22 ofour TCFD Update 2020. We are prioritising climate-related financing and investment,and in October announced our new"
"risks and opportunities on the organisation's business, strategy and planning","climate ambition to become a net zero bank, support customers to thrive in the transition to a low-carbon economy, and to unlock next generation climate solutions. For further details of our climate ambition, see pages 45 to 50 in the ESG review."
"Describe the resilience of the organisation's strategy taking into consideration different climate- related scenarios, including a 2°C or","-We have carried out various exercises to analyse our resilience, including: -using the Paris Agreement Capital Transition Assessment ('PACTA) tool to assess our customers' impact on climate and help develop clear pathways to net zero financed emissions.We have run a"
lower scenario,pilot on our automotive loan book;and -running a stress testing pilot to assess the impact of different climate scenarios on our customers and our own infrastructure.
,"For furtherdetails of our scenario analysis and‘PACTA' pilots,see pages 13 to 21 of our TCFD Update 2020."
Risk management,
Describe the organisation's processes for identifying and assessing,"- In response to identifying our key climate risks,we have reviewed our risk appetite and defined our"
climate-related risks,"approach to managing these risks. -We are reviewing our policies for managing a number of principal risk types,initially resilience risk,"
,sustainability risk and regulatory compliance risk.
,"For furtherdetails ofour climate risk management approach,see page 48 in the ESG review and pages 22 to 24"
,of our TCFD Update 2020.
Describe the organisation's processes for managing climate-related risks,-We manage our asset management customers' climate risk in line with our fiduciary responsibilities to protect and grow the assets.
,DRead more on our asset management approach to climate risk in our policies and procedures on
Describe how processes for,www.assetmanagement.hsbc.co.uk/en/institutional-investor/about-us/responsible-investing/policies.
"identifying,assessing and managing climate-related risks are integrated",-The Trustee of our UK Pension Scheme manages climate risk in line with its fiduciary responsibilities towards members².
into the organisation's overall risk management,"-We have established a dedicated climate risk programme to accelerate the integration of climate risk into our Group-wide risk management framework,which includes identification and assessment,"
Metrics and targets,"management,and aggregation and reporting."
Disclose the metrics used by the organisation to assess climate-related,"-We use several metrics to measure and track our progress against key targets,and we will be refining"
risk and opportunities in line with its strategy and risk management process,"ourapproach to financed emissions (scope 3), including carbon intensity, for specific portfolios. -We set a new sustainable finance and investment target of $750bn to $1tn by 2030,after reaching"
,$93.0bn of our $100bn by 2025 target.The $40.6bn achieved in 2020 counts towards both the existing 2025 target and the new target.
Describe the targets used by the organisation to manage climate-,"-We continue to disclose our wholesale loan exposure to the six high transition risk sectors,and use"
related risks and opportunities and,our corporate customer transition risk questionnaire to help inform our risk management.
performance against targets,We include an environment measure in the scorecards of our executive Directors and Group Managing Directors.The long-term incentive scorecards of our executive Directors (three-year performance period
,to the end of December 2023) have a 25% weighting for targets aligned to our climate ambitions.
"Disclose scope 1, scope 2 and, if",
,"-We continue to disclose business travel, energy-related emissons and renewable energy use,and"
"appropriate, scope 3 greenhouse gas",
,aim to disclose further details on our own scope 3 emissions in future reporting.
emissions and the related risks,
"For further details of our climate metrics and targets,see pages 45 to 50 in the ESG review.",
