2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,,,,,,
2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,Maximum exposure Offset Net $m $m $m,Maximum exposure Offset Net $m $m $m,Maximum exposure Offset Net $m $m $m,Maximum,Maximum,Maximum
2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,Maximum exposure Offset Net $m $m $m,Maximum exposure Offset Net $m $m $m,Maximum exposure Offset Net $m $m $m,exposure Offset Net,exposure Offset Net,exposure Offset Net
2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,2020 2019Maximum Maximum exposure Offset Net exposure Offset Net $m $m $m $m $m $m,Maximum exposure Offset Net $m $m $m,Maximum exposure Offset Net $m $m $m,Maximum exposure Offset Net $m $m $m,$m $m $m,$m $m $m,$m $m $m
Loans and advances to customers held at amortised cost,"1,037,987","(27,221)1,010,766","(27,221)1,010,766","1,036,743","(28,524)","1,008,219",,,,,,
-_personal,"456,078","(4,287)","451,791","431,137","(4,640)","426,497",,,,,,
- corporate and commercial,"517,594","(21,102)","496,492","535,061","(21,745)","513,316",,,,,,
- non-bank financial institutions,"64,315","(1,832)","62,483","70,545","(2,139)","68,406",,,,,,
Loans and advances to banks at amortised cost,"81,616",二,"81,616","69,203",1,"69,203",,,,,,
Other financial assets held at amortised cost,"774,116","(14,668)","759,448","616,648","(28,826)","587,822",,,,,,
- cash and balances at central banks,"304,481",1,"304,481","154,099",1,"154,099",,,,,,
-items in the course of collection from other banks,"4,094",1,"4,094","4,956",一,"4,956",,,,,,
：Hong Kong Government certificates of indebtedness,"40,420",1,"40,420","38,380",,"38,380",,,,,,
-reverse repurchase agreements-non-trading,"230,628","(14,668)","215,960","240,862","(28,826)","212,036",,,,,,
- financial investments,"88,639",1,"88,639","85,735",,"85,735",,,,,,
"- prepayments,accrued income and other assets","105,854",1,"105,854",92.616,,"92,616",,,,,,
Derivatives,"307,726","(293,240)","14,486","242,995","(232,908)","10,087",,,,,,
Total on-balance sheet exposure to credit risk,"2,201,445 (335,129)","2,201,445 (335,129)","1,866,316","1,965,589 (290,258) 1,675,331","1,965,589 (290,258) 1,675,331","1,965,589 (290,258) 1,675,331",,,,,,
Total off-balance sheet,"940,185 1","940,185 1","940,185","893,246 893,246","893,246 893,246","893,246 893,246",,,,,,
-financial and other guarantees,"96,147",,"96,147","95,967",,"95,967",,,,,,
-loanand other credit-related commitments,"844,038",1,"844,038","797,279",,"797,279",,,,,,
"At 31Dec 3,141,630 (335,129)","At 31Dec 3,141,630 (335,129)","At 31Dec 3,141,630 (335,129)","2,806,501 2,858,835 (290,258)","2,806,501 2,858,835 (290,258)","2,806,501 2,858,835 (290,258)","2,568,577",,,,,,
