,Investment Non-linked Linked life contracts with,Investment Non-linked Linked life contracts with,Investment Non-linked Linked life contracts with,Total
,insurance $m,insurance,DPF1 $m,Total
Gross insurance premium income,"8,321",$m 579,"1,563","$m 10,463"
Reinsurers'share of gross insurance premium income,,,二,(370)
Yearended 31Dec 2020,(362),(8) 571,"1,563","10,093"
,"7,959",,,
Gross insurance premium income,"9,353",489,"2,266","12,108"
Reinsurers'share of gross insurance premium income,"(1,465)",(7),1,"(1,472)"
Year ended 31Dec 2019,"7,888",482,"2,266","10,636"
Gross insurance premium income,"8,616",422,2.300,"11,338"
Reinsurers'share of gross insurance premium income,(672),（7),1,（679)
Year ended 31 Dec 2018,"7,944",415,"2,300","10,659"
