ECL,Operating expenses,Share of profit in associates and joint ventures,Profit/(loss) before tax
Adjusted results reconciliation,,,
2020,2020,2020,
Adjusted,Significant items,Reported,"Adjusted,Significant items,Reported"
Revenue,"$m 50,366",63,"50,429,54,944,471,56,098,1,854,53,780"
ECL,"(8,817)",,"(8,817),(2,627),(129),(2,756),(1,620),(147),(1,767)"
Operating expenses,"(31,459)","(2,973)","(34,432),(32,519),(223),(32,742),(42,349),(1,280),(34,659)"
,"(8,817)","2,059","12,149"
,"(2,627)","2,351","22,149"
(129),(223),"3,122",
,"(2,756)","2,354","13,347"
,"(1,620)","2,444","21,199"
(147),"(1,280)",92,519
,"(1,767)","2,536","19,890"
