,Board attendance,,
Roles Group Chairman,in 2020 17/17,,Responsibilities Provides effective leadership of the Board and promotes the highest standards of corporate governance
Mark E Tucker1.2,,,"practices. Leads the Board in providing strong strategic oversight and setting the Board's agenda, culture and"
Mark E Tucker1.2,,,values.
Mark E Tucker1.2,,,"Leads the Board in challenging management's thinking and proposals,and foster open and constructive debate among Directors."
Mark E Tucker1.2,,,"Maintains external relationships with key stakeholders and communicates investors' views to the Board. Evaluates the performance of the Board, Commitees, non-executive Directors and Group Chief"
Mark E Tucker1.2,,,Executive.
Executive Director Group Chief Executive Noel Quinn2,17/17,,"Leads and directs the implementation of the Group's business strategy,embedding the organisation's culture and values."
Executive Director Group Chief Executive Noel Quinn2,17/17,,"Leads the Group Executive Committee with responsibility for the day-to-day operations of the Group, underauthority delegated to him from the Board."
Executive Director Group Chief Executive Noel Quinn2,17/17,,Maintains relationships with key stakeholders including the Group Chairman and the Board.
Executive Director Chief Financial Officer Ewen Stevenson2,17/17,,Supports the Group Chief Executive in developing and implementing the Group strategy and recommends the annual budget and long-term strategic and financial plan.
Executive Director Chief Financial Officer Ewen Stevenson2,17/17,,"Leads the Finance function and is responsible for effective financial reporting,including the effectiveness of the processes and controls, to ensure the financial control framework is robust and fit"
Executive Director Chief Financial Officer Ewen Stevenson2,17/17,,for purpose. Maintains relationships with key stakeholders including shareholders.
Non-executive Directors Senior Independent Director David Nish2.3,17/17,,"Supports the Group Chairman,acting as intermediary for non-executive Directors when necessary. Leads the non-executive Directors in the oversight of the Group Chairman,supporting the clear division of responsibility between the Group Chairman and the Group Chief Executive."
Laura Cha³,,,Listens to shareholders' views if they have concerns that cannot be resolved through the normal channels.
Henri de Castries³,17/17 17/17,,Develop and approve the Group strategy. Challenge and oversee the performance of management.
James Forese³,,,Approve the Group's risk appetite and review risk profile and performance.
Steven Guggenheimer3,12/12,,
Irene Lee³,12/12,,
Dr José Antonio Meade,17/17,,
Kuribrena³,17/17,,
Heidi Miller3.4,16/17,,
"Eileen Murray3,4",5/7,,
Jackson Tai3,17/17,,
Pauline van der Meer Mohr3,17/17,,
Kathleen Casey3,5/5,,
Sir Jonathan Symonds? Group Company Secretary,2/2,,Maintains strong and consistent governance practices at Board level and throughout the Group.
and Chief Governance Officer,,,"Supports the Group Chairman in ensuring efective functioning of the Board and its committees,and transparent engagement between senior management and non-executive Directors."
Aileen Taylor,,,Facilitates induction and professional development of non-executive Directors.
,,,Advises and supports the Board and management in ensuring effective end-to-end governance and
,,,decision making across the Group.
