MRTs' remuneration by band1,,,
MRTs' remuneration by band1,Management body,All other,Total
"€0- 1,000,000",11,814,825
"€1,000,000-1,500,000",一,179,179
"€1,500,000 -2,000,000",1,76,77
"€2,000,000-2,500,000",一,27,27
"€2,500,000-3,000,000",一,13,13
"€3,000,000-3,500,000",一,11,11
"€3,500,000-4,000,000",,7,7
"€4,000,000-4,500,000",,1,1
"€4,500,000-5,000,000",一,1,1
"€5,000,000-6,000,000",1,3,4
"€6,000,000-7,000,000",一,3,3
"€7,000,000-8,000,000",1,1,1
"€8,000,000-9,000,000",1,1,1
"€9,000,000- 10,000,000",1,,1
