Called up share capital and share premium,Other equity instruments,"Retained earnings3,4",Financial assets at FVOCI reserve,Cash flow hedging reserve,Foreign exchange reserve,Merger and other reserves5,Total shareholders' equity,Non-controlling interests,Total equity
"20,337","22,250","139,414","-1,371",-222,"-19,072","27,308","188,644","7,580","196,224"
,,Profit for the year,,,,,"13,727","1,298,15,025",
,,Other comprehensive income (net of tax),,-245,16,"-7,061","-4,525","-145,-4,670",
,,- debt instruments at fair value through other comprehensive income,,-,-,-,-,"2,-243",
,,- equity instruments designated at fair value through other comprehensive income,,-,-,-,-,"-,-27",
,,- cash flow hedges,,-,16,-,-,16,"3,19"
,,- changes in fair value of financial liabilities designated at fair value due to movement in own credit risk,,,,,"2,847","-,-2847",
,,- remeasurement of defined benefit asset/liability,,-,-,-,-,"-,-329",
,,- share of other comprehensive income of associates and joint ventures,,-,-,-,-,"-,-64",
,,- effects of hyperinflation,283,-,-,-,283,"-,283",
,,- exchange differences,,-,-,"-7,061",-,"-95,-7,156",
,,Total comprehensive income for the year,,,,,"9,202","1,153,10,355",
Shares issued under employee remuneration and share plans,721,-,-610,-,-,-,111,"-,111",
Shares issued in lieu of dividends and amounts arising thereon,,,"1,494",-,-,-,-,"1,494,-",
Capital securities issued1,,,"5,968",-,-,-,-,"-,5,968",
Dividends to shareholders,,,"-11,547",-,-,-,-,"-710,-12,257",
Redemption of securities2,,,-,-237,-,-,"2,200","-,-6,088",
Transfers6,,,-,-,-,-,"2,200","-,-",
Cost of share-based payment arrangements,,,450,-,-,-,-,"-,450",
Cancellation of shares7,"2,731",-,"-4,998",-,-,-,269,"-1,998,-1,998",
Other movements,,,-,-67,84,-,-,"-17,-10",
At 31 Dec 2018,"23,789","22,367","138,191","-1,532",-206,"-26,133","29,777","7,996,194,249",
