2019,Wealth and Personal Banking,Commercial Banking,Global Banking and Markets,Corporate Centre,Total,Total
Funds under management,"1,597",120,460,,"2,177","2,221"
Cards,"1,602",358,15,,"1,975","1,956"
Broking income,485,40,532,,"1,057","1,210"
Credit facilities,90,785,743,,"1,618","1,723"
Account services,991,654,365,(7),"2,003","2,177"
Underwriting,3,6,821,(1),829,723
Global custody,135,18,564,,717,736
Unit trusts,"1,011",22,2,,"1,035","1,038"
Remittances,77,362,311,(3),747,778
Imports/exports,1,497,164,,662,709
Insurance agency commission,356,20,1,,377,404
Other,"1,284",887,"2,353","(2,282)","2,242","2,369"
Fee income,"7,632","3,769","6,331","(2,293)","15,439","16,044"
Less: fee expense,"(1,998)",(380),"(3,292)","2,254","(3,416)","(3,424)"
Net Fee income,"5,634","3,389","3,039",(39),"12,023","12,620"
