Due not more than 1 month,Due over 1 month but not more than 3 months,Due over 3 months but not more than 1 year,Due over 1 year but not more than 5 years,Due over 5 years,Total
"61,001","1,442","1,639","17,352",632,"82,066"
"1,530,584","64,809","40,755","7,720",153,"1,644,021"
"102,664","3,984","3,257","1,058","1,017","111,980"
"75,266",—,—,—,—,"75,266"
"18,815","7,556","19,243","59,835","55,475","160,924"
"300,158",356,579,"1,830","2,128","305,051"
"6,551","12,709","29,520","28,787","24,075","101,642"
739,170,"1,102","7,024","28,812","37,847"
"140,094","9,120","5,113","5,030","2,887","162,244"
"2,235,872","100,146","101,208","128,636","115,179","2,681,041"
"842,945",434,740,480,171,"844,770"
"18,200",13,93,37,41,"18,384"
"3,097,017","100,593","102,041","129,153","115,391","3,544,195"
"46,471","4,167","4,227","3,371","1,084","59,320"
"1,288,577","81,037","62,105","9,900",191,"1,441,810"
"132,156","3,403","3,565",368,"1,036","140,528"
"83,170",—,—,—,—,"83,170"
"13,447","4,666","14,747","76,155","68,045","177,060"
"237,897",105,522,"1,076","1,691","241,291"
"8,757","17,374","38,423","36,584","8,177","109,315"
"1,847",—,"2,908","5,197","27,892","37,844"
"127,898","9,079","6,792","5,637","2,992","152,398"
"1,940,220","119,831","133,289","138,288","111,108","2,442,736"
"795,243",601,561,886,317,"797,608"
"20,007",37,102,68,—,"20,214"
"2,755,470","120,469","133,952","139,242","111,425","3,260,558"
