Footnotes,Assets,Financial investments,Trading assets,Designated and otherwise mandatorily measured at fair value or loss,Derivatives,Trading liabilities,Designated at fair value,Derivatives
At 1 Jan 2020,"3,218","4,979","9,476","2,136,53,5,016",2,"2,302",,
Total gains/(losses) recognised in profit or loss,17,-,504,"2,281,307",-,-,"-,3,398",
− net income/(losses) from financial instruments held for trading or managed on a fair value basis,-,-,-,"2,281,307",-,-,"-,3,398",
− changes in fair value of other financial instruments mandatorily measured at fair value through profit or loss,-,-,504,-,-,-,,
− gains less losses from financial investments at fair value through other comprehensive income,17,-,-,-,-,-,-,
− expected credit loss charges and other credit risk charges,-,-,-,-,-,-,,
Total gains recognised in other comprehensive income ('OCI'),394,"115,286",143,17,204,169,,
− financial investments: fair value gains,270,-,-,-,-,-,-,
− exchange differences,124,"115,286",143,17,204,169,,
Purchases,671,687,"3,701",-,66,-,"-,-",
New issuances,-,-,1,-,6,"1,876",-,
Sales,(674),"(1,579)","(2,042)",-,(260),"-,-,-",,
Settlements,(530),"(1,122)",(435),"(1,542)",(26),"(-1,531),(-1,462)",,
Transfers out,(101),"(1,790)",(140),(565),(9),"(777),(528)",,
Transfers in,659,"1,215",126,217,"8,577",309,,
At 31 Dec 2020,"3,654","2,499","11,477","2,670,162,5,306",2,"4,188",,
Unrealised gains/(losses) recognised in profit or loss relating to assets and liabilities held at 31 Dec 2020,-,(32),412,707,1,"-(91),-(1,621)",,
