At,31 Dec,31 Dec,31 Dec,31 Dec
Risk-weighted assets ('RWAs') ($bn),2020,2019,2020,2019
Credit risk,691.9,676.6,691.9,676.6
Counterparty credit risk,42.8,44.1,42.8,44.1
Market risk,28.5,29.9,28.5,29.9
Operational risk,94.3,92.8,94.3,92.8
Total RWAs,857.5,843.4,857.5,843.4
Capital on a transitional basis ($bn),,,184.4,172.2
Common equity tier 1 ('CET1') capital,136.1,124.0,136.1,124.0
Tier 1 capital,160.2,148.4,160.2,148.4
Total capital,184.4,172.2,184.4,172.2
Capital ratios on a transitional basis (%),,,21.5,20.4
Common equity tier 1 ratio,15.9,14.7,15.9,14.7
Tier 1 ratio,18.7,17.6,18.7,17.6
Total capital ratio,21.5,20.4,21.5,20.4
Capital on an end point basis ($bn),,,173.2,159.3
Common equity tier 1 ('CET1') capital,136.1,124.0,136.1,124.0
Tier 1 capital,158.5,144.8,158.5,144.8
Total capital,173.2,159.3,173.2,159.3
Capital ratios on an end point basis (%),,,20.2,18.9
Common equity tier 1 ratio,15.9,14.7,15.9,14.7
Tier 1 ratio,18.5,17.2,18.5,17.2
Total capital ratio,20.2,18.9,20.2,18.9
Liquidity coverage ratio ('LCR'),,,139.1,150.2
Total high-quality liquid assets ($bn),677.9,601.4,677.9,601.4
Total net cash outflow ($bn),487.3,400.5,487.3,400.5
LCR ratio (%),139.1,150.2,139.1,150.2
