,At 1 Jan,"At 31 Dec 2020 or date of cessation, if earlier","At 31 Dec 2020 or date of cessation, if earlier","At 31 Dec 2020 or date of cessation, if earlier","At 31 Dec 2020 or date of cessation, if earlier","At 31 Dec 2020 or date of cessation, if earlier"
,At 1 Jan,"2020,or date of appointment, if later",Beneficial owner,Child under 18 or spouse,Jointly with another person Trustee,Total interests
HSBC Holdings ordinary shares,Footnotes,,,,,
Kathleen Casey (retired on 24 April 2020),1,"15,125","15,125",一,一 一,"15,125"
Laura Cha,,"16,200","16,200",1,一 1,"16,200"
Henri de Castries,,"19,251","19,251",1,1 1,"19,251"
James Forese (appointed to the Board on 1 May 2020),1,1,"115,000",1,1 1,"115,000"
Steven Guggenheimer (appointed to the Board on 1 May,,,,,,
2020),"1,4",1,1,1,"15,000 1","15,000"
Irene Lee,,"11,904","11,904",二,二 二,"11,904"
José Antonio Meade Kuribrena,1,1,"15,000 15,700",1,1 1,"15,000"
Heidi Miller,1,"15,700","75,000",一,1 1,"15,700"
Eileen Murray (appointed to the Board on 1 July 2020),1,"一 50,000",1,"50,000",,"75,000"
David Nish,,"441,925","778,958",1,一 1,"50,000"
Noel Quinn,2 2,"233,972","545,731",1,1 1,"778,958"
Ewen Stevenson,,"43,821","38,823","4,998",1 一,"545,731"
Sir Jonathan Symonds (retired on 18 February 2020),"1,3","66,515","32,800","11,965","21,750 一","43,821 66,515"
Jackson Tai MarkTucker,,"307,352","307,352",二,1 1,"307,352"
Pauline van der Meer Mohr,,"15,000","15,000",1,1,"15,000"
