Deferred remunerationat31 December1 (REM3) Ofwhich:total outstanding,Deferred remunerationat31 December1 (REM3) Ofwhich:total outstanding,Deferred remunerationat31 December1 (REM3) Ofwhich:total outstanding,Deferred remunerationat31 December1 (REM3) Ofwhich:total outstanding,Deferred remunerationat31 December1 (REM3) Ofwhich:total outstanding,Deferred remunerationat31 December1 (REM3) Ofwhich:total outstanding,Deferred remunerationat31 December1 (REM3) Ofwhich:total outstanding
,deferredand retained exposed,deferredand retained exposed,deferredand retained exposed,Total amount of Total amount of amendment during amendment during,Total amount of Total amount of amendment during amendment during,Total amount of Total amount of amendment during amendment during
$m,Total outstanding²,Of which: unvested,to ex post explicit and/or implicit adjustment,the year due to ex post implicit adjustment,the year due to ex post explicit adjustment3,deferred paid out in the financial year4
Cash,,,,,,
Executive Directors,3.6,3.6,3.6,1,二,0.1
Senior management,27.4,27.4,27.4,1,,5.1
Investment banking,195.0,195.0,195.0,1,一,62.7
Retail banking,41.9,41.9,41.9,一,一,10.2
Asset management,8.1,8.1,8.1,一,1,3.4
Corporate functions,35.0,35.0,35.0,一,一,9.7
Independent control functions,23.6,23.6,23.6,二,二,4.5
All other,30.2,30.2,30.2,1,1,8.7
Shares,,,,,,
Executive Directors,9.7,9.1,9.7,(5.4),二,2.5
Senior management,25.7,22.4,25.7,(12.7),一,11.6
Investment banking,183.3,146.0,183.3,(90.5),,130.6
Retail banking,45.9,38.1 4.2,45.9,(22.6),1,29.1
Asset management,5.6,,5.6,(2.7),一,4.3
Corporate functions,39.5,31.5,39.5,(19.6),1,26.5
Independent control functions,28.8,26.2,28.8,(14.5),二,18.0
All other,35.2,27.7,35.2,(17.4),一,20.4
Other forms,,,二,,,
Executive Directors,二,二,,二,,
Senior management,二,二,二,二,,
Investment banking,二,二 1,二 一,二 1,1,一
Retail banking,1,5.6,7.0,0.3,二,
Asset management,7.0,0.7,0.8,0.1,1,1.7
Corporate functions,0.8 0.2,0.1,0.2,二,二,0.3
Independent control functions,,,,,1,0.1
All other,1,1,1,1,,1
