Stage 1,Stage 2,Stage 3,POCI,Total
Gross carrying amount,Personal,-,-,"2,429,2,429"
,- first lien residential mortgages,-,-,"1,692,-,1,692"
,- other personal lending,-,-,"737,-,737"
,Wholesale,328,989,"3,929,239,5,485"
,- corporate and commercial,324,972,"3,903,239,5,438"
,- non-bank financial institutions,4,17,"26,-,47"
At 31 Dec 2020,328,989,"6,358","239,7,914"
Allowance for ECL,Personal,-,-,"(452),(452)"
,- first lien residential mortgages,-,-,"(152),-,(152)"
,- other personal lending,-,-,"(300),-,(300)"
,Wholesale,(10),(36),"(1,276),(86),(1,408)"
,- corporate and commercial,(10),(36),"(1,263),(86),(1,395)"
,- non-bank financial institutions,-,-,"(13),-,(13)"
At 31 Dec 2020,(10),(36),"(1,728)","(86),(1,860)"
Gross carrying amount,Personal,-,-,"2,207,2,207"
,- first lien residential mortgages,-,-,"1,558,-,1,558"
,- other personal lending,-,-,"649,-,649"
,Wholesale,"1,168","1,179","3,353,310,6,010"
,- corporate and commercial,"1,168","1,179","3,290,310,5,947"
,- non-bank financial institutions,-,-,"63,-,63"
At 31 Dec 2019,"1,168","1,179","5,560","310,8,217"
Allowance for ECL,Personal,-,-,"(397),(397)"
,- first lien residential mortgages,-,-,"(181),-,(181)"
,- other personal lending,-,-,"(216),-,(216)"
,Wholesale,(13),(55),"(1,349),(86),(1,503)"
,- corporate and commercial,(13),(55),"(1,316),(86),(1,470)"
,- non-bank financial institutions,-,-,"(33),-,(33)"
At 31 Dec 2019,(13),(55),"(1,746)","(86),(1,900)"
