,,,,Other reserves,Other reserves,Other reserves,Other reserves,,,,,,,
,Called up share capital and share premium,Other equity instru- ments,Retained earningg3.4,Financial assets at,Financial assets at,Financial assets at,Financial assets at,Financial assets at,Total share- holders' equity,Non- controlling interests,Total equity,,,
,Called up share capital and share premium,Other equity instru- ments,Retained earningg3.4,FVOCI reserve,Cash flow hedging reserve,Foreign exchange reserve,Merger and other reserves5,,,,,,,
At1Jan 2018,"20,337","$m 22,250",$m,"$m 139,414","$m (1,371)",$m (222),"$m (19,072)","$m 27,308",Total share- holders' equity,Non- controlling interests,Total equity,"$m 188,644","$m 7,580","$m 196,224"
Profitfor the year,,一,1,"13,727",1,1,一,1,"13,727","1,298","15,025",,,
Other comprehensive income (net of tax),,,一,"2,765",(245),16,"(7,061)",一,"(4,525)",(145),"(4,670) (243)",,,
- debt instruments at fair value through other comprehensive income,,,一,,(245),(245),"(7,061)",一,"(4,525)",一,,(245),2,
- equity instruments designated at fair value,,,一,,(245),,"(7,061)",一,"(4,525)",,,一,(27),
through other comprehensive income - cash flow hedges,,,一,,(245),,"(7,061)",一,"(4,525)",16,,16,3,
changes in fair value of financial liabilities designated at fair value due to movement,,,一,,(245),"2,847","(7,061)",一,"(4,525)",,"2,847",,,
in own credit risk remeasurement of defined benefit asset/ liability,,,一,,(245),(301),"(7,061)",一,"(4,525)",,(301),,2.847 (28) (329),
-share of other comprehensive income of,,,一,,(245),,"(7,061)",一,"(4,525)",,,,(64),
associates and joint ventures effects of hyperinflation,,,一,,(245),(64) 283,"(7,061)",一,"(4,525)",,,(64) 283,283,
-exchange differences,,,一,,(245),,"(7,061)",一,"(4,525)",,,"(7,061)","(7,061)",
Total comprehensive income for the year,,,"一 16,492",(245),,"16 (7,061)",,"9,202","1,153","(95) (7,156) 10,355",,,,
Shares issued under employee remuneration and share plans (610),,,,,,,,,,,,,,
Shares issued in lieu of dividends and,721,721,721,721,721,721,721,,111,,111,,,
amounts arising thereon,,,,,,,,"1,494",,,"1,494",,,
Capital securities issued1,"5,968","5,968","5,968","5,968","5,968","5,968","5,968","5,968",,,"5,968 (12,257)",,,
Dividends to shareholders,,,,,,,,"(11,547) (6,088)",,(710),"(6,088)",,,
Redemption of securities² Transfers6,"(5,851)","(5,851)","(5,851)","(5,851)","(5,851)","(5,851)","(5,851)","2,200",,,,,,
Cost of share-based payment arrangements,,,,,,,,一,450,,一 450,,,
Cancellation of shares7,,,,,,,,,,,,,,
,"2,731",,"(4,998)","(4,998)",一 84,,,269,"(1,998)",,"(1,998)",,,
Other movements,1,1,(67),,1,,1,1,17,(27),（10）,,,
At 31 Dec 2018,"23,789","22,367","138,191","(1,532)",(206),"(26,133)",,"29,777","186,253","7,996","194,249",,,
